z11_node6  | [INFO] 21-01-2026 21:26:56: Node initalized, waiting for UDP packets
z11_node1  | [INFO] 21-01-2026 21:26:56: Node initalized, waiting for UDP packets
z11_node4  | [INFO] 21-01-2026 21:26:56: Node initalized, waiting for UDP packets
z11_node5  | [INFO] 21-01-2026 21:26:56: Node initalized, waiting for UDP packets
z11_node0  | [INFO] 21-01-2026 21:26:56: Node initalized, waiting for UDP packets
z11_node0  | [INFO] 21-01-2026 21:26:56: TOKEN: have_token=1 pending=0 inflight=0
z11_node3  | [INFO] 21-01-2026 21:26:56: Node initalized, waiting for UDP packets
z11_node2  | [INFO] 21-01-2026 21:26:56: Node initalized, waiting for UDP packets
z11_node1  | [INFO] 21-01-2026 21:26:57: Received token via unicast
z11_node1  | [INFO] 21-01-2026 21:26:57: TOKEN: have_token=1 pending=0 inflight=0
z11_node2  | [INFO] 21-01-2026 21:26:58: Received token via unicast
z11_node2  | [INFO] 21-01-2026 21:26:58: TOKEN: have_token=1 pending=0 inflight=0
z11_node3  | [INFO] 21-01-2026 21:26:59: Received token via unicast
z11_node3  | [INFO] 21-01-2026 21:26:59: TOKEN: have_token=1 pending=0 inflight=0
z11_node4  | [INFO] 21-01-2026 21:27:00: Received token via unicast
z11_node4  | [INFO] 21-01-2026 21:27:00: TOKEN: have_token=1 pending=0 inflight=0
z11_node5  | [INFO] 21-01-2026 21:27:01: Received token via unicast
z11_node5  | [INFO] 21-01-2026 21:27:01: TOKEN: have_token=1 pending=0 inflight=0
z11_node6  | [INFO] 21-01-2026 21:27:02: Received token via unicast
z11_node6  | [INFO] 21-01-2026 21:27:02: TOKEN: have_token=1 pending=0 inflight=0
z11_node0  | [INFO] 21-01-2026 21:27:03: Received token via unicast
z11_node0  | [INFO] 21-01-2026 21:27:03: TOKEN: have_token=1 pending=0 inflight=0
z11_node1  | [INFO] 21-01-2026 21:27:04: Received token via unicast
z11_node1  | [INFO] 21-01-2026 21:27:04: TOKEN: have_token=1 pending=0 inflight=0
z11_node2  | [INFO] 21-01-2026 21:27:05: Received token via unicast
z11_node2  | [INFO] 21-01-2026 21:27:05: TOKEN: have_token=1 pending=0 inflight=0
z11_node3  | [INFO] 21-01-2026 21:27:06: Received token via unicast
z11_node3  | [INFO] 21-01-2026 21:27:06: TOKEN: have_token=1 pending=0 inflight=0
z11_node4  | [INFO] 21-01-2026 21:27:07: Received token via unicast
z11_node4  | [INFO] 21-01-2026 21:27:07: TOKEN: have_token=1 pending=0 inflight=0
z11_node4  | [INFO] 21-01-2026 21:27:07: Attaching CLI token: 4 do 5
z11_node4  | 
z11_node5  | [INFO] 21-01-2026 21:27:08: Received token via unicast
z11_node5  | [INFO] 21-01-2026 21:27:08: TOKEN: have_token=1 pending=0 inflight=0
z11_node5  | [INFO] 21-01-2026 21:27:08: Received token for me: 4 do 5
z11_node5  | 
z11_node6  | [INFO] 21-01-2026 21:27:09: Received token via unicast
z11_node6  | [INFO] 21-01-2026 21:27:09: TOKEN: have_token=1 pending=0 inflight=0
z11_node0  | [INFO] 21-01-2026 21:27:10: Received token via unicast
z11_node0  | [INFO] 21-01-2026 21:27:10: TOKEN: have_token=1 pending=0 inflight=0
z11_node0  | [INFO] 21-01-2026 21:27:10: Attaching CLI token: 0 do 6
z11_node0  | 
z11_node1  | [INFO] 21-01-2026 21:27:11: Received token via unicast
z11_node1  | [INFO] 21-01-2026 21:27:11: TOKEN: have_token=1 pending=0 inflight=0
z11_node1  | [INFO] 21-01-2026 21:27:11: Full token received for another node - forwarding
z11_node1  | 
z11_node2  | [INFO] 21-01-2026 21:27:12: Received token via unicast
z11_node2  | [INFO] 21-01-2026 21:27:12: TOKEN: have_token=1 pending=0 inflight=0
z11_node2  | [INFO] 21-01-2026 21:27:12: Full token received for another node - forwarding
z11_node2  | 
z11_node3  | [INFO] 21-01-2026 21:27:13: Received token via unicast
z11_node3  | [INFO] 21-01-2026 21:27:13: TOKEN: have_token=1 pending=0 inflight=0
z11_node3  | [INFO] 21-01-2026 21:27:13: Full token received for another node - forwarding
z11_node3  | 
z11_node4  | [INFO] 21-01-2026 21:27:14: Received token via unicast
z11_node4  | [INFO] 21-01-2026 21:27:14: TOKEN: have_token=1 pending=0 inflight=0
