z11_node1  | [INFO] Applying netem: delay=1000ms jitter=500ms loss=50%
z11_node0  | [INFO] Applying netem: delay=1000ms jitter=500ms loss=50%
z11_node1  | [INFO] 21-01-2026 19:10:18: Node initalized, waiting for UDP packets
z11_node0  | [INFO] 21-01-2026 19:10:18: Node initalized, waiting for UDP packets
z11_node0  | [INFO] 21-01-2026 19:10:18: TOKEN: have_token=1 pending=0 inflight=0
z11_node2  | [INFO] Applying netem: delay=1000ms jitter=500ms loss=50%
z11_node2  | [INFO] 21-01-2026 19:10:18: Node initalized, waiting for UDP packets
z11_node3  | [INFO] Applying netem: delay=1000ms jitter=500ms loss=50%
z11_node5  | [INFO] Applying netem: delay=1000ms jitter=500ms loss=50%
z11_node4  | [INFO] Applying netem: delay=1000ms jitter=500ms loss=50%
z11_node6  | [INFO] Applying netem: delay=1000ms jitter=500ms loss=50%
z11_node4  | [INFO] Delaying start by 2s
z11_node6  | [INFO] Delaying start by 6s
z11_node5  | [INFO] Delaying start by 4s
z11_node3  | [INFO] Delaying start by 2s
z11_node3  | [INFO] 21-01-2026 19:10:20: Node initalized, waiting for UDP packets
z11_node4  | [INFO] 21-01-2026 19:10:20: Node initalized, waiting for UDP packets
z11_node5  | [INFO] 21-01-2026 19:10:22: Node initalized, waiting for UDP packets
z11_node6  | [INFO] 21-01-2026 19:10:24: Node initalized, waiting for UDP packets
z11_node1  | [INFO] 21-01-2026 19:10:25: JOIN_REQUEST id=2755993196 name=node6 uni=5000 from=172.18.0.4
z11_node2  | [INFO] 21-01-2026 19:10:25: JOIN_REQUEST id=2755993196 name=node6 uni=5000 from=172.18.0.4
z11_node1  | [INFO] 21-01-2026 19:10:30: Received token via unicast
z11_node1  | [INFO] 21-01-2026 19:10:30: TOKEN: have_token=1 pending=1 inflight=0
z11_node1  | [INFO] 21-01-2026 19:10:30: JOIN_INFLIGHT START: joiner=node6 req=2755993196 (prev=node0 curr=node1)
z11_node0  | [INFO] 21-01-2026 19:10:32: JOIN_REQUEST id=2755993196 name=node6 uni=5000 from=172.18.0.4
z11_node2  | [INFO] 21-01-2026 19:10:33: JOIN_REQUEST id=829409289 name=node5 uni=5000 from=172.18.0.3
z11_node0  | [INFO] 21-01-2026 19:10:33: JOIN_REQUEST id=829409289 name=node5 uni=5000 from=172.18.0.3
z11_node1  | [INFO] 21-01-2026 19:10:34: TOKEN: have_token=1 pending=0 inflight=1
z11_node0  | [INFO] 21-01-2026 19:10:35: JOIN_REQUEST id=2755993196 name=node6 uni=5000 from=172.18.0.4
z11_node2  | [INFO] 21-01-2026 19:10:35: JOIN_REQUEST id=2755993196 name=node6 uni=5000 from=172.18.0.4
z11_node1  | [INFO] 21-01-2026 19:10:36: JOIN_REQUEST id=829409289 name=node5 uni=5000 from=172.18.0.3
z11_node1  | [INFO] 21-01-2026 19:10:36: TOKEN: have_token=1 pending=1 inflight=1
z11_node1  | [INFO] 21-01-2026 19:10:38: TOKEN: have_token=1 pending=1 inflight=1
z11_node2  | [INFO] 21-01-2026 19:10:41: JOIN_REQUEST id=1460868330 name=node3 uni=5000 from=172.18.0.5
z11_node0  | [INFO] 21-01-2026 19:10:41: JOIN_REQUEST id=1460868330 name=node3 uni=5000 from=172.18.0.5
z11_node6  | [INFO] 21-01-2026 19:10:42: JOIN_REQUEST id=1460868330 name=node3 uni=5000 from=172.18.0.5
z11_node1  | [INFO] 21-01-2026 19:10:42: JOIN_INFLIGHT COMPLETE: new prev=node6 topo=1
z11_node2  | [INFO] 21-01-2026 19:10:43: JOIN_REQUEST id=829409289 name=node5 uni=5000 from=172.18.0.3
