z11_node4  | [INFO] Delaying start by 2s
z11_node3  | [INFO] Delaying start by 2s
z11_node2  | [INFO] 21-01-2026 19:08:36: Node initalized, waiting for UDP packets
z11_node6  | [INFO] Delaying start by 6s
z11_node0  | [INFO] 21-01-2026 19:08:36: Node initalized, waiting for UDP packets
z11_node0  | [INFO] 21-01-2026 19:08:36: TOKEN: have_token=1 pending=0 inflight=0
z11_node1  | [INFO] 21-01-2026 19:08:36: Node initalized, waiting for UDP packets
z11_node5  | [INFO] Delaying start by 4s
z11_node1  | [INFO] 21-01-2026 19:08:37: Received token via unicast
z11_node1  | [INFO] 21-01-2026 19:08:37: TOKEN: have_token=1 pending=0 inflight=0
z11_node0  | [INFO] 21-01-2026 19:08:38: JOIN_REQUEST id=1985024211 name=node3 uni=5000 from=172.18.0.2
z11_node2  | [INFO] 21-01-2026 19:08:38: JOIN_REQUEST id=1985024211 name=node3 uni=5000 from=172.18.0.2
z11_node3  | [INFO] 21-01-2026 19:08:38: Node initalized, waiting for UDP packets
z11_node0  | [INFO] 21-01-2026 19:08:38: JOIN_REQUEST id=955900391 name=node4 uni=5000 from=172.18.0.3
z11_node2  | [INFO] 21-01-2026 19:08:38: JOIN_REQUEST id=955900391 name=node4 uni=5000 from=172.18.0.3
z11_node4  | [INFO] 21-01-2026 19:08:38: Node initalized, waiting for UDP packets
z11_node2  | [INFO] 21-01-2026 19:08:38: Received token via unicast
z11_node2  | [INFO] 21-01-2026 19:08:38: TOKEN: have_token=1 pending=2 inflight=0
z11_node2  | [INFO] 21-01-2026 19:08:38: JOIN_INFLIGHT START: joiner=node3 req=1985024211 (prev=node1 curr=node2)
z11_node1  | [INFO] 21-01-2026 19:08:39: JOIN_REQUEST id=1985024211 name=node3 uni=5000 from=172.18.0.2
z11_node1  | [INFO] 21-01-2026 19:08:39: JOIN_REQUEST id=955900391 name=node4 uni=5000 from=172.18.0.3
z11_node0  | [INFO] 21-01-2026 19:08:40: JOIN_REQUEST id=766804216 name=node5 uni=5000 from=172.18.0.6
z11_node3  | [INFO] 21-01-2026 19:08:40: JOIN_REQUEST id=766804216 name=node5 uni=5000 from=172.18.0.6
z11_node5  | [INFO] 21-01-2026 19:08:40: Node initalized, waiting for UDP packets
z11_node1  | [INFO] 21-01-2026 19:08:40: JOIN_REQUEST id=766804216 name=node5 uni=5000 from=172.18.0.6
z11_node3  | [INFO] 21-01-2026 19:08:42: JOIN_REQUEST id=3591090919 name=node6 uni=5000 from=172.18.0.7
z11_node0  | [INFO] 21-01-2026 19:08:42: JOIN_REQUEST id=3591090919 name=node6 uni=5000 from=172.18.0.7
z11_node6  | [INFO] 21-01-2026 19:08:42: Node initalized, waiting for UDP packets
z11_node1  | [INFO] 21-01-2026 19:08:43: JOIN_REQUEST id=3591090919 name=node6 uni=5000 from=172.18.0.7
z11_node2  | [INFO] 21-01-2026 19:08:43: JOIN_INFLIGHT COMPLETE: new prev=node3 topo=1
z11_node0  | [INFO] 21-01-2026 19:08:43: JOIN_COMMIT: req=1985024211 new=node3 topo=1
z11_node3  | [INFO] 21-01-2026 19:08:43: JOIN_COMMIT: req=1985024211 new=node3 topo=1
z11_node2  | [INFO] 21-01-2026 19:08:44: TOKEN: have_token=1 pending=1 inflight=0
z11_node2  | [INFO] 21-01-2026 19:08:44: JOIN_INFLIGHT START: joiner=node4 req=955900391 (prev=node3 curr=node2)
z11_node1  | [INFO] 21-01-2026 19:08:44: JOIN_COMMIT: req=1985024211 new=node3 topo=1
z11_node3  | [INFO] 21-01-2026 19:08:49: JOIN_COMMIT: req=955900391 new=node4 topo=2
z11_node4  | [INFO] 21-01-2026 19:08:49: JOIN_COMMIT: req=955900391 new=node4 topo=2
z11_node0  | [INFO] 21-01-2026 19:08:49: JOIN_COMMIT: req=955900391 new=node4 topo=2
