z11_node6  | [INFO] Applying netem: delay=1000ms jitter=500ms loss=50%
z11_node0  | [INFO] Applying netem: delay=1000ms jitter=500ms loss=50%
z11_node0  | [INFO] 21-01-2026 19:06:57: Node initalized, waiting for UDP packets
z11_node0  | [INFO] 21-01-2026 19:06:57: TOKEN: have_token=1 pending=0 inflight=0
z11_node6  | [INFO] 21-01-2026 19:06:57: Node initalized, waiting for UDP packets
z11_node4  | [INFO] Applying netem: delay=1000ms jitter=500ms loss=50%
z11_node4  | [INFO] 21-01-2026 19:06:57: Node initalized, waiting for UDP packets
z11_node3  | [INFO] Applying netem: delay=1000ms jitter=500ms loss=50%
z11_node3  | [INFO] 21-01-2026 19:06:57: Node initalized, waiting for UDP packets
z11_node1  | [INFO] Applying netem: delay=1000ms jitter=500ms loss=50%
z11_node1  | [INFO] 21-01-2026 19:06:57: Node initalized, waiting for UDP packets
z11_node2  | [INFO] Applying netem: delay=1000ms jitter=500ms loss=50%
z11_node2  | [INFO] 21-01-2026 19:06:57: Node initalized, waiting for UDP packets
z11_node5  | [INFO] Applying netem: delay=1000ms jitter=500ms loss=50%
z11_node5  | [INFO] 21-01-2026 19:06:57: Node initalized, waiting for UDP packets
z11_node1  | [INFO] 21-01-2026 19:07:07: Received token via unicast
z11_node1  | [INFO] 21-01-2026 19:07:07: TOKEN: have_token=1 pending=0 inflight=0
z11_node2  | [INFO] 21-01-2026 19:07:19: Received token via unicast
z11_node2  | [INFO] 21-01-2026 19:07:19: TOKEN: have_token=1 pending=0 inflight=0
z11_node3  | [INFO] 21-01-2026 19:07:24: Received token via unicast
z11_node3  | [INFO] 21-01-2026 19:07:24: TOKEN: have_token=1 pending=0 inflight=0
z11_node4  | [INFO] 21-01-2026 19:07:30: Received token via unicast
z11_node4  | [INFO] 21-01-2026 19:07:30: TOKEN: have_token=1 pending=0 inflight=0
z11_node5  | [INFO] 21-01-2026 19:07:42: Received token via unicast
z11_node5  | [INFO] 21-01-2026 19:07:42: TOKEN: have_token=1 pending=0 inflight=0
z11_node6  | [INFO] 21-01-2026 19:07:51: Received token via unicast
z11_node6  | [INFO] 21-01-2026 19:07:51: TOKEN: have_token=1 pending=0 inflight=0
z11_node0  | [INFO] 21-01-2026 19:08:00: Received token via unicast
z11_node0  | [INFO] 21-01-2026 19:08:00: TOKEN: have_token=1 pending=0 inflight=0
z11_node1  | [INFO] 21-01-2026 19:08:02: Received token via unicast
z11_node1  | [INFO] 21-01-2026 19:08:02: TOKEN: have_token=1 pending=0 inflight=0
z11_node2  | [INFO] 21-01-2026 19:08:05: Received token via unicast
z11_node2  | [INFO] 21-01-2026 19:08:05: TOKEN: have_token=1 pending=0 inflight=0
z11_node3  | [INFO] 21-01-2026 19:08:20: Received token via unicast
z11_node3  | [INFO] 21-01-2026 19:08:20: TOKEN: have_token=1 pending=0 inflight=0
z11_node4  | [INFO] 21-01-2026 19:08:22: Received token via unicast
z11_node4  | [INFO] 21-01-2026 19:08:22: TOKEN: have_token=1 pending=0 inflight=0
z11_node5  | [INFO] 21-01-2026 19:08:24: Received token via unicast
z11_node5  | [INFO] 21-01-2026 19:08:24: TOKEN: have_token=1 pending=0 inflight=0

