z11_node5  | [INFO] Delaying start by 4s
z11_node5  | [INFO] 20-01-2026 19:51:39: Node initalized, waiting for UDP packets
z11_node5  | [INFO] 20-01-2026 19:52:01: JOIN_REQUEST id=710564936 name=node6 uni=5000 from=172.18.0.8
z11_node5  | [INFO] 20-01-2026 19:52:03: JOIN_COMMIT: req=2769632242 new=node5 topo=3
z11_node5  | [INFO] 20-01-2026 19:52:09: JOIN_COMMIT: req=710564936 new=node6 topo=4
z11_node5  | [INFO] 20-01-2026 19:52:19: Received token via unicast
z11_node5  | [INFO] 20-01-2026 19:52:19: TOKEN: have_token=1 pending=0 inflight=0
z11_node5  | [INFO] 20-01-2026 19:52:26: Received token via unicast
z11_node5  | [INFO] 20-01-2026 19:52:26: TOKEN: have_token=1 pending=0 inflight=0
z11_node5  | [INFO] 20-01-2026 19:52:33: Received token via unicast
z11_node5  | [INFO] 20-01-2026 19:52:33: TOKEN: have_token=1 pending=0 inflight=0
z11_node5  | [INFO] 20-01-2026 19:52:40: Received token via unicast
z11_node5  | [INFO] 20-01-2026 19:52:40: TOKEN: have_token=1 pending=0 inflight=0
z11_node5  | [INFO] 20-01-2026 19:52:47: Received token via unicast
z11_node5  | [INFO] 20-01-2026 19:52:47: TOKEN: have_token=1 pending=0 inflight=0
z11_node5  | [INFO] 20-01-2026 19:52:54: Received token via unicast
z11_node5  | [INFO] 20-01-2026 19:52:54: TOKEN: have_token=1 pending=0 inflight=0
z11_node5  | [INFO] 20-01-2026 19:53:01: Received token via unicast
z11_node5  | [INFO] 20-01-2026 19:53:01: TOKEN: have_token=1 pending=0 inflight=0
z11_node5  | [INFO] 20-01-2026 19:53:08: Received token via unicast
z11_node5  | [INFO] 20-01-2026 19:53:08: TOKEN: have_token=1 pending=0 inflight=0
z11_node5  | [INFO] 20-01-2026 19:53:15: Received token via unicast
z11_node5  | [INFO] 20-01-2026 19:53:15: TOKEN: have_token=1 pending=0 inflight=0
z11_node5  | [INFO] 20-01-2026 19:53:22: Received token via unicast
z11_node5  | [INFO] 20-01-2026 19:53:22: TOKEN: have_token=1 pending=0 inflight=0
z11_node5  | [INFO] 20-01-2026 19:53:29: Received token via unicast
z11_node5  | [INFO] 20-01-2026 19:53:29: TOKEN: have_token=1 pending=0 inflight=0
z11_node5  | [INFO] 20-01-2026 19:53:36: Received token via unicast
z11_node5  | [INFO] 20-01-2026 19:53:36: TOKEN: have_token=1 pending=0 inflight=0
z11_node5  | [INFO] 20-01-2026 19:53:43: Received token via unicast
z11_node5  | [INFO] 20-01-2026 19:53:43: TOKEN: have_token=1 pending=0 inflight=0
z11_node5  | [INFO] 20-01-2026 19:53:50: Received token via unicast
z11_node5  | [INFO] 20-01-2026 19:53:50: TOKEN: have_token=1 pending=0 inflight=0
z11_node5  | [INFO] 20-01-2026 19:53:57: Received token via unicast
z11_node5  | [INFO] 20-01-2026 19:53:57: TOKEN: have_token=1 pending=0 inflight=0
z11_node5  | [INFO] 20-01-2026 19:54:04: Received token via unicast
z11_node5  | [INFO] 20-01-2026 19:54:04: TOKEN: have_token=1 pending=0 inflight=0
z11_node5  | [INFO] 20-01-2026 19:54:11: Received token via unicast
z11_node5  | [INFO] 20-01-2026 19:54:11: TOKEN: have_token=1 pending=0 inflight=0
z11_node5  | [INFO] 20-01-2026 19:54:18: Received token via unicast
z11_node5  | [INFO] 20-01-2026 19:54:18: TOKEN: have_token=1 pending=0 inflight=0
z11_node5  | [INFO] 20-01-2026 19:54:25: Received token via unicast
z11_node5  | [INFO] 20-01-2026 19:54:25: TOKEN: have_token=1 pending=0 inflight=0
z11_node5  | [INFO] 20-01-2026 19:54:32: Received token via unicast
z11_node5  | [INFO] 20-01-2026 19:54:32: TOKEN: have_token=1 pending=0 inflight=0

