z11_node6  | [INFO] Applying netem: delay=1000ms jitter=500ms loss=50%
z11_node6  | [INFO] Delaying start by 6s
z11_node0  | [INFO] Applying netem: delay=1000ms jitter=500ms loss=50%
z11_node0  | [INFO] 21-01-2026 19:54:45: Node initalized, waiting for UDP packets
z11_node0  | [INFO] 21-01-2026 19:54:45: TOKEN: have_token=1 pending=0 inflight=0
z11_node5  | [INFO] Applying netem: delay=1000ms jitter=500ms loss=50%
z11_node5  | [INFO] Delaying start by 4s
z11_node1  | [INFO] Applying netem: delay=1000ms jitter=500ms loss=50%
z11_node1  | [INFO] 21-01-2026 19:54:45: Node initalized, waiting for UDP packets
z11_node2  | [INFO] Applying netem: delay=1000ms jitter=500ms loss=50%
z11_node2  | [INFO] 21-01-2026 19:54:45: Node initalized, waiting for UDP packets
z11_node4  | [INFO] Applying netem: delay=1000ms jitter=500ms loss=50%
z11_node4  | [INFO] Delaying start by 2s
z11_node3  | [INFO] Applying netem: delay=1000ms jitter=500ms loss=50%
z11_node3  | [INFO] Delaying start by 2s
z11_node4  | [INFO] 21-01-2026 19:54:47: Node initalized, waiting for UDP packets
z11_node3  | [INFO] 21-01-2026 19:54:47: Node initalized, waiting for UDP packets
z11_node2  | [INFO] 21-01-2026 19:54:48: JOIN_REQUEST id=4239188680 name=node4 uni=5000 from=172.18.0.5
z11_node1  | [INFO] 21-01-2026 19:54:48: JOIN_REQUEST id=4239188680 name=node4 uni=5000 from=172.18.0.5
z11_node5  | [INFO] 21-01-2026 19:54:49: Node initalized, waiting for UDP packets
z11_node1  | [INFO] 21-01-2026 19:54:50: Received token via unicast
z11_node1  | [INFO] 21-01-2026 19:54:50: TOKEN: have_token=1 pending=1 inflight=0
z11_node1  | [INFO] 21-01-2026 19:54:50: JOIN_INFLIGHT START: joiner=node4 req=4239188680 (prev=node0 curr=node1)
z11_node0  | [INFO] 21-01-2026 19:54:51: JOIN_REQUEST id=4239188680 name=node4 uni=5000 from=172.18.0.5
z11_node6  | [INFO] 21-01-2026 19:54:51: Node initalized, waiting for UDP packets
z11_node0  | [INFO] 21-01-2026 19:54:52: JOIN_REQUEST id=882587745 name=node6 uni=5000 from=172.18.0.6
z11_node2  | [INFO] 21-01-2026 19:54:52: JOIN_REQUEST id=882587745 name=node6 uni=5000 from=172.18.0.6
z11_node1  | [INFO] 21-01-2026 19:54:54: TOKEN: have_token=1 pending=0 inflight=1
z11_node4  | [INFO] 21-01-2026 19:54:54: JOIN_REQUEST id=882587745 name=node6 uni=5000 from=172.18.0.6
