z11_node4  | [INFO] Delaying start by 2s
z11_node4  | [INFO] 21-01-2026 19:51:37: Node initalized, waiting for UDP packets
z11_node4  | [INFO] 21-01-2026 19:51:49: JOIN_REQUEST id=2769632242 name=node5 uni=5000 from=172.18.0.7
z11_node4  | [INFO] 21-01-2026 19:51:51: JOIN_REQUEST id=710564936 name=node6 uni=5000 from=172.18.0.8
z11_node4  | [INFO] 21-01-2026 19:51:53: JOIN_COMMIT: req=1227623603 new=node4 topo=2
z11_node4  | [INFO] 21-01-2026 19:52:02: JOIN_REQUEST id=710564936 name=node6 uni=5000 from=172.18.0.8
z11_node4  | [INFO] 21-01-2026 19:52:03: JOIN_COMMIT: req=2769632242 new=node5 topo=3
z11_node4  | [INFO] 21-01-2026 19:52:08: JOIN_COMMIT: req=710564936 new=node6 topo=4
z11_node4  | [INFO] 21-01-2026 19:52:18: Received token via unicast
z11_node4  | [INFO] 21-01-2026 19:52:18: TOKEN: have_token=1 pending=0 inflight=0
z11_node4  | [INFO] 21-01-2026 19:52:25: Received token via unicast
z11_node4  | [INFO] 21-01-2026 19:52:25: TOKEN: have_token=1 pending=0 inflight=0
z11_node4  | [INFO] 21-01-2026 19:52:32: Received token via unicast
z11_node4  | [INFO] 21-01-2026 19:52:32: TOKEN: have_token=1 pending=0 inflight=0
z11_node4  | [INFO] 21-01-2026 19:52:39: Received token via unicast
z11_node4  | [INFO] 21-01-2026 19:52:39: TOKEN: have_token=1 pending=0 inflight=0
z11_node4  | [INFO] 21-01-2026 19:52:46: Received token via unicast
z11_node4  | [INFO] 21-01-2026 19:52:46: TOKEN: have_token=1 pending=0 inflight=0
z11_node4  | [INFO] 21-01-2026 19:52:53: Received token via unicast
z11_node4  | [INFO] 21-01-2026 19:52:53: TOKEN: have_token=1 pending=0 inflight=0
z11_node4  | [INFO] 21-01-2026 19:53:00: Received token via unicast
z11_node4  | [INFO] 21-01-2026 19:53:00: TOKEN: have_token=1 pending=0 inflight=0
z11_node4  | [INFO] 21-01-2026 19:53:07: Received token via unicast
z11_node4  | [INFO] 21-01-2026 19:53:07: TOKEN: have_token=1 pending=0 inflight=0
z11_node4  | [INFO] 21-01-2026 19:53:14: Received token via unicast
z11_node4  | [INFO] 21-01-2026 19:53:14: TOKEN: have_token=1 pending=0 inflight=0
z11_node4  | [INFO] 21-01-2026 19:53:21: Received token via unicast
z11_node4  | [INFO] 21-01-2026 19:53:21: TOKEN: have_token=1 pending=0 inflight=0
z11_node4  | [INFO] 21-01-2026 19:53:28: Received token via unicast
z11_node4  | [INFO] 21-01-2026 19:53:28: TOKEN: have_token=1 pending=0 inflight=0
z11_node4  | [INFO] 21-01-2026 19:53:35: Received token via unicast
z11_node4  | [INFO] 21-01-2026 19:53:35: TOKEN: have_token=1 pending=0 inflight=0
z11_node4  | [INFO] 21-01-2026 19:53:42: Received token via unicast
z11_node4  | [INFO] 21-01-2026 19:53:42: TOKEN: have_token=1 pending=0 inflight=0
z11_node4  | [INFO] 21-01-2026 19:53:49: Received token via unicast
z11_node4  | [INFO] 21-01-2026 19:53:49: TOKEN: have_token=1 pending=0 inflight=0
z11_node4  | [INFO] 21-01-2026 19:53:56: Received token via unicast
z11_node4  | [INFO] 21-01-2026 19:53:56: TOKEN: have_token=1 pending=0 inflight=0
z11_node4  | [INFO] 21-01-2026 19:54:03: Received token via unicast
z11_node4  | [INFO] 21-01-2026 19:54:03: TOKEN: have_token=1 pending=0 inflight=0
z11_node4  | [INFO] 21-01-2026 19:54:10: Received token via unicast
z11_node4  | [INFO] 21-01-2026 19:54:10: TOKEN: have_token=1 pending=0 inflight=0
z11_node4  | [INFO] 21-01-2026 19:54:17: Received token via unicast
z11_node4  | [INFO] 21-01-2026 19:54:17: TOKEN: have_token=1 pending=0 inflight=0
z11_node4  | [INFO] 21-01-2026 19:54:24: Received token via unicast
z11_node4  | [INFO] 21-01-2026 19:54:24: TOKEN: have_token=1 pending=0 inflight=0
z11_node4  | [INFO] 21-01-2026 19:54:31: Received token via unicast
z11_node4  | [INFO] 21-01-2026 19:54:31: TOKEN: have_token=1 pending=0 inflight=0

