z11_node3  | [INFO] Delaying start by 2s
z11_node3  | [INFO] 20-01-2026 19:51:37: Node initalized, waiting for UDP packets
z11_node3  | [INFO] 20-01-2026 19:51:40: JOIN_REQUEST id=2769632242 name=node5 uni=5000 from=172.18.0.7
z11_node3  | [INFO] 20-01-2026 19:51:41: JOIN_REQUEST id=710564936 name=node6 uni=5000 from=172.18.0.8
z11_node3  | [INFO] 20-01-2026 19:51:43: JOIN_COMMIT: req=157074605 new=node3 topo=1
z11_node3  | [INFO] 20-01-2026 19:51:49: JOIN_REQUEST id=2769632242 name=node5 uni=5000 from=172.18.0.7
z11_node3  | [INFO] 20-01-2026 19:51:51: JOIN_REQUEST id=710564936 name=node6 uni=5000 from=172.18.0.8
z11_node3  | [INFO] 20-01-2026 19:51:54: JOIN_COMMIT: req=1227623603 new=node4 topo=2
z11_node3  | [INFO] 20-01-2026 19:52:01: JOIN_REQUEST id=710564936 name=node6 uni=5000 from=172.18.0.8
z11_node3  | [INFO] 20-01-2026 19:52:03: JOIN_COMMIT: req=2769632242 new=node5 topo=3
z11_node3  | [INFO] 20-01-2026 19:52:08: JOIN_COMMIT: req=710564936 new=node6 topo=4
z11_node3  | [INFO] 20-01-2026 19:52:17: Received token via unicast
z11_node3  | [INFO] 20-01-2026 19:52:17: TOKEN: have_token=1 pending=0 inflight=0
z11_node3  | [INFO] 20-01-2026 19:52:24: Received token via unicast
z11_node3  | [INFO] 20-01-2026 19:52:24: TOKEN: have_token=1 pending=0 inflight=0
z11_node3  | [INFO] 20-01-2026 19:52:31: Received token via unicast
z11_node3  | [INFO] 20-01-2026 19:52:31: TOKEN: have_token=1 pending=0 inflight=0
z11_node3  | [INFO] 20-01-2026 19:52:38: Received token via unicast
z11_node3  | [INFO] 20-01-2026 19:52:38: TOKEN: have_token=1 pending=0 inflight=0
z11_node3  | [INFO] 20-01-2026 19:52:45: Received token via unicast
z11_node3  | [INFO] 20-01-2026 19:52:45: TOKEN: have_token=1 pending=0 inflight=0
z11_node3  | [INFO] 20-01-2026 19:52:52: Received token via unicast
z11_node3  | [INFO] 20-01-2026 19:52:52: TOKEN: have_token=1 pending=0 inflight=0
z11_node3  | [INFO] 20-01-2026 19:52:59: Received token via unicast
z11_node3  | [INFO] 20-01-2026 19:52:59: TOKEN: have_token=1 pending=0 inflight=0
z11_node3  | [INFO] 20-01-2026 19:53:06: Received token via unicast
z11_node3  | [INFO] 20-01-2026 19:53:06: TOKEN: have_token=1 pending=0 inflight=0
z11_node3  | [INFO] 20-01-2026 19:53:13: Received token via unicast
z11_node3  | [INFO] 20-01-2026 19:53:13: TOKEN: have_token=1 pending=0 inflight=0
z11_node3  | [INFO] 20-01-2026 19:53:20: Received token via unicast
z11_node3  | [INFO] 20-01-2026 19:53:20: TOKEN: have_token=1 pending=0 inflight=0
z11_node3  | [INFO] 20-01-2026 19:53:27: Received token via unicast
z11_node3  | [INFO] 20-01-2026 19:53:27: TOKEN: have_token=1 pending=0 inflight=0
z11_node3  | [INFO] 20-01-2026 19:53:34: Received token via unicast
z11_node3  | [INFO] 20-01-2026 19:53:34: TOKEN: have_token=1 pending=0 inflight=0
z11_node3  | [INFO] 20-01-2026 19:53:41: Received token via unicast
z11_node3  | [INFO] 20-01-2026 19:53:41: TOKEN: have_token=1 pending=0 inflight=0
z11_node3  | [INFO] 20-01-2026 19:53:48: Received token via unicast
z11_node3  | [INFO] 20-01-2026 19:53:48: TOKEN: have_token=1 pending=0 inflight=0
z11_node3  | [INFO] 20-01-2026 19:53:55: Received token via unicast
z11_node3  | [INFO] 20-01-2026 19:53:55: TOKEN: have_token=1 pending=0 inflight=0
z11_node3  | [INFO] 20-01-2026 19:54:02: Received token via unicast
z11_node3  | [INFO] 20-01-2026 19:54:02: TOKEN: have_token=1 pending=0 inflight=0
z11_node3  | [INFO] 20-01-2026 19:54:09: Received token via unicast
z11_node3  | [INFO] 20-01-2026 19:54:09: TOKEN: have_token=1 pending=0 inflight=0
z11_node3  | [INFO] 20-01-2026 19:54:16: Received token via unicast
z11_node3  | [INFO] 20-01-2026 19:54:16: TOKEN: have_token=1 pending=0 inflight=0
z11_node3  | [INFO] 20-01-2026 19:54:23: Received token via unicast
z11_node3  | [INFO] 20-01-2026 19:54:23: TOKEN: have_token=1 pending=0 inflight=0
z11_node3  | [INFO] 20-01-2026 19:54:30: Received token via unicast
z11_node3  | [INFO] 20-01-2026 19:54:30: TOKEN: have_token=1 pending=0 inflight=0

