z11_node6  | [INFO] Delaying start by 6s
z11_node6  | [INFO] 21-01-2026 19:51:41: Node initalized, waiting for UDP packets
z11_node6  | [INFO] 21-01-2026 19:52:08: JOIN_COMMIT: req=710564936 new=node6 topo=4
z11_node6  | [INFO] 21-01-2026 19:52:20: Received token via unicast
z11_node6  | [INFO] 21-01-2026 19:52:20: TOKEN: have_token=1 pending=0 inflight=0
z11_node6  | [INFO] 21-01-2026 19:52:27: Received token via unicast
z11_node6  | [INFO] 21-01-2026 19:52:27: TOKEN: have_token=1 pending=0 inflight=0
z11_node6  | [INFO] 21-01-2026 19:52:34: Received token via unicast
z11_node6  | [INFO] 21-01-2026 19:52:34: TOKEN: have_token=1 pending=0 inflight=0
z11_node6  | [INFO] 21-01-2026 19:52:41: Received token via unicast
z11_node6  | [INFO] 21-01-2026 19:52:41: TOKEN: have_token=1 pending=0 inflight=0
z11_node6  | [INFO] 21-01-2026 19:52:48: Received token via unicast
z11_node6  | [INFO] 21-01-2026 19:52:48: TOKEN: have_token=1 pending=0 inflight=0
z11_node6  | [INFO] 21-01-2026 19:52:55: Received token via unicast
z11_node6  | [INFO] 21-01-2026 19:52:55: TOKEN: have_token=1 pending=0 inflight=0
z11_node6  | [INFO] 21-01-2026 19:53:02: Received token via unicast
z11_node6  | [INFO] 21-01-2026 19:53:02: TOKEN: have_token=1 pending=0 inflight=0
z11_node6  | [INFO] 21-01-2026 19:53:09: Received token via unicast
z11_node6  | [INFO] 21-01-2026 19:53:09: TOKEN: have_token=1 pending=0 inflight=0
z11_node6  | [INFO] 21-01-2026 19:53:16: Received token via unicast
z11_node6  | [INFO] 21-01-2026 19:53:16: TOKEN: have_token=1 pending=0 inflight=0
z11_node6  | [INFO] 21-01-2026 19:53:23: Received token via unicast
z11_node6  | [INFO] 21-01-2026 19:53:23: TOKEN: have_token=1 pending=0 inflight=0
z11_node6  | [INFO] 21-01-2026 19:53:30: Received token via unicast
z11_node6  | [INFO] 21-01-2026 19:53:30: TOKEN: have_token=1 pending=0 inflight=0
z11_node6  | [INFO] 21-01-2026 19:53:37: Received token via unicast
z11_node6  | [INFO] 21-01-2026 19:53:37: TOKEN: have_token=1 pending=0 inflight=0
z11_node6  | [INFO] 21-01-2026 19:53:44: Received token via unicast
z11_node6  | [INFO] 21-01-2026 19:53:44: TOKEN: have_token=1 pending=0 inflight=0
z11_node6  | [INFO] 21-01-2026 19:53:51: Received token via unicast
z11_node6  | [INFO] 21-01-2026 19:53:51: TOKEN: have_token=1 pending=0 inflight=0
z11_node6  | [INFO] 21-01-2026 19:53:58: Received token via unicast
z11_node6  | [INFO] 21-01-2026 19:53:58: TOKEN: have_token=1 pending=0 inflight=0
z11_node6  | [INFO] 21-01-2026 19:54:05: Received token via unicast
z11_node6  | [INFO] 21-01-2026 19:54:05: TOKEN: have_token=1 pending=0 inflight=0
z11_node6  | [INFO] 21-01-2026 19:54:12: Received token via unicast
z11_node6  | [INFO] 21-01-2026 19:54:12: TOKEN: have_token=1 pending=0 inflight=0
z11_node6  | [INFO] 21-01-2026 19:54:19: Received token via unicast
z11_node6  | [INFO] 21-01-2026 19:54:19: TOKEN: have_token=1 pending=0 inflight=0
z11_node6  | [INFO] 21-01-2026 19:54:26: Received token via unicast
z11_node6  | [INFO] 21-01-2026 19:54:26: TOKEN: have_token=1 pending=0 inflight=0

