z11_node1  | [INFO] 20-01-2026 19:51:35: Node initalized, waiting for UDP packets
z11_node1  | [INFO] 20-01-2026 19:51:36: Received token via unicast
z11_node1  | [INFO] 20-01-2026 19:51:36: TOKEN: have_token=1 pending=0 inflight=0
z11_node1  | [INFO] 20-01-2026 19:51:37: JOIN_REQUEST id=157074605 name=node3 uni=5000 from=172.18.0.2
z11_node1  | [INFO] 20-01-2026 19:51:37: JOIN_REQUEST id=1227623603 name=node4 uni=5000 from=172.18.0.5
z11_node1  | [INFO] 20-01-2026 19:51:39: JOIN_REQUEST id=2769632242 name=node5 uni=5000 from=172.18.0.7
z11_node1  | [INFO] 20-01-2026 19:51:41: JOIN_REQUEST id=710564936 name=node6 uni=5000 from=172.18.0.8
z11_node1  | [INFO] 20-01-2026 19:51:43: JOIN_COMMIT: req=157074605 new=node3 topo=1
z11_node1  | [INFO] 20-01-2026 19:51:49: JOIN_REQUEST id=2769632242 name=node5 uni=5000 from=172.18.0.7
z11_node1  | [INFO] 20-01-2026 19:51:51: JOIN_REQUEST id=710564936 name=node6 uni=5000 from=172.18.0.8
z11_node1  | [INFO] 20-01-2026 19:51:53: JOIN_COMMIT: req=1227623603 new=node4 topo=2
z11_node1  | [INFO] 20-01-2026 19:52:01: JOIN_REQUEST id=710564936 name=node6 uni=5000 from=172.18.0.8
z11_node1  | [INFO] 20-01-2026 19:52:03: JOIN_COMMIT: req=2769632242 new=node5 topo=3
z11_node1  | [INFO] 20-01-2026 19:52:08: JOIN_COMMIT: req=710564936 new=node6 topo=4
z11_node1  | [INFO] 20-01-2026 19:52:16: Received token via unicast
z11_node1  | [INFO] 20-01-2026 19:52:16: TOKEN: have_token=1 pending=0 inflight=0
z11_node1  | [INFO] 20-01-2026 19:52:23: Received token via unicast
z11_node1  | [INFO] 20-01-2026 19:52:23: TOKEN: have_token=1 pending=0 inflight=0
z11_node1  | [INFO] 20-01-2026 19:52:30: Received token via unicast
z11_node1  | [INFO] 20-01-2026 19:52:30: TOKEN: have_token=1 pending=0 inflight=0
z11_node1  | [INFO] 20-01-2026 19:52:37: Received token via unicast
z11_node1  | [INFO] 20-01-2026 19:52:37: TOKEN: have_token=1 pending=0 inflight=0
z11_node1  | [INFO] 20-01-2026 19:52:44: Received token via unicast
z11_node1  | [INFO] 20-01-2026 19:52:44: TOKEN: have_token=1 pending=0 inflight=0
z11_node1  | [INFO] 20-01-2026 19:52:51: Received token via unicast
z11_node1  | [INFO] 20-01-2026 19:52:51: TOKEN: have_token=1 pending=0 inflight=0
z11_node1  | [INFO] 20-01-2026 19:52:58: Received token via unicast
z11_node1  | [INFO] 20-01-2026 19:52:58: TOKEN: have_token=1 pending=0 inflight=0
z11_node1  | [INFO] 20-01-2026 19:53:05: Received token via unicast
z11_node1  | [INFO] 20-01-2026 19:53:05: TOKEN: have_token=1 pending=0 inflight=0
z11_node1  | [INFO] 20-01-2026 19:53:12: Received token via unicast
z11_node1  | [INFO] 20-01-2026 19:53:12: TOKEN: have_token=1 pending=0 inflight=0
z11_node1  | [INFO] 20-01-2026 19:53:19: Received token via unicast
z11_node1  | [INFO] 20-01-2026 19:53:19: TOKEN: have_token=1 pending=0 inflight=0
z11_node1  | [INFO] 20-01-2026 19:53:26: Received token via unicast
z11_node1  | [INFO] 20-01-2026 19:53:26: TOKEN: have_token=1 pending=0 inflight=0
z11_node1  | [INFO] 20-01-2026 19:53:33: Received token via unicast
z11_node1  | [INFO] 20-01-2026 19:53:33: TOKEN: have_token=1 pending=0 inflight=0
z11_node1  | [INFO] 20-01-2026 19:53:40: Received token via unicast
z11_node1  | [INFO] 20-01-2026 19:53:40: TOKEN: have_token=1 pending=0 inflight=0
z11_node1  | [INFO] 20-01-2026 19:53:47: Received token via unicast
z11_node1  | [INFO] 20-01-2026 19:53:47: TOKEN: have_token=1 pending=0 inflight=0
z11_node1  | [INFO] 20-01-2026 19:53:54: Received token via unicast
z11_node1  | [INFO] 20-01-2026 19:53:54: TOKEN: have_token=1 pending=0 inflight=0
z11_node1  | [INFO] 20-01-2026 19:54:01: Received token via unicast
z11_node1  | [INFO] 20-01-2026 19:54:01: TOKEN: have_token=1 pending=0 inflight=0
z11_node1  | [INFO] 20-01-2026 19:54:08: Received token via unicast
z11_node1  | [INFO] 20-01-2026 19:54:08: TOKEN: have_token=1 pending=0 inflight=0
z11_node1  | [INFO] 20-01-2026 19:54:15: Received token via unicast
z11_node1  | [INFO] 20-01-2026 19:54:15: TOKEN: have_token=1 pending=0 inflight=0
z11_node1  | [INFO] 20-01-2026 19:54:22: Received token via unicast
z11_node1  | [INFO] 20-01-2026 19:54:22: TOKEN: have_token=1 pending=0 inflight=0
z11_node1  | [INFO] 20-01-2026 19:54:29: Received token via unicast
z11_node1  | [INFO] 20-01-2026 19:54:29: TOKEN: have_token=1 pending=0 inflight=0

