z11_node2  | [INFO] Applying netem: delay=1000ms jitter=500ms loss=50%
z11_node2  | [INFO] 20-01-2026 19:48:24: Node initalized, waiting for UDP packets
z11_node4  | [INFO] Applying netem: delay=1000ms jitter=500ms loss=50%
z11_node4  | [INFO] 20-01-2026 19:48:24: Node initalized, waiting for UDP packets
z11_node1  | [INFO] Applying netem: delay=1000ms jitter=500ms loss=50%
z11_node1  | [INFO] 20-01-2026 19:48:24: Node initalized, waiting for UDP packets
z11_node6  | [INFO] Applying netem: delay=1000ms jitter=500ms loss=50%
z11_node0  | [INFO] Applying netem: delay=1000ms jitter=500ms loss=50%
z11_node6  | [INFO] 20-01-2026 19:48:24: Node initalized, waiting for UDP packets
z11_node0  | [INFO] 20-01-2026 19:48:24: Node initalized, waiting for UDP packets
z11_node3  | [INFO] Applying netem: delay=1000ms jitter=500ms loss=50%
z11_node0  | [INFO] 20-01-2026 19:48:24: TOKEN: have_token=1 pending=0 inflight=0
z11_node3  | [INFO] 20-01-2026 19:48:24: Node initalized, waiting for UDP packets
z11_node5  | [INFO] Applying netem: delay=1000ms jitter=500ms loss=50%
z11_node5  | [INFO] 20-01-2026 19:48:24: Node initalized, waiting for UDP packets
z11_node1  | [INFO] 20-01-2026 19:48:39: Received token via unicast
z11_node1  | [INFO] 20-01-2026 19:48:39: TOKEN: have_token=1 pending=0 inflight=0
z11_node2  | [INFO] 20-01-2026 19:48:51: Received token via unicast
z11_node2  | [INFO] 20-01-2026 19:48:51: TOKEN: have_token=1 pending=0 inflight=0
z11_node3  | [INFO] 20-01-2026 19:48:58: Received token via unicast
z11_node3  | [INFO] 20-01-2026 19:48:58: TOKEN: have_token=1 pending=0 inflight=0
z11_node4  | [INFO] 20-01-2026 19:49:13: Received token via unicast
z11_node4  | [INFO] 20-01-2026 19:49:13: TOKEN: have_token=1 pending=0 inflight=0
z11_node5  | [INFO] 20-01-2026 19:49:25: Received token via unicast
z11_node5  | [INFO] 20-01-2026 19:49:25: TOKEN: have_token=1 pending=0 inflight=0
z11_node6  | [INFO] 20-01-2026 19:49:37: Received token via unicast
z11_node6  | [INFO] 20-01-2026 19:49:37: TOKEN: have_token=1 pending=0 inflight=0
z11_node0  | [INFO] 20-01-2026 19:49:51: Received token via unicast
z11_node0  | [INFO] 20-01-2026 19:49:51: TOKEN: have_token=1 pending=0 inflight=0
z11_node1  | [INFO] 20-01-2026 19:49:53: Received token via unicast
z11_node1  | [INFO] 20-01-2026 19:49:53: TOKEN: have_token=1 pending=0 inflight=0
z11_node2  | [INFO] 20-01-2026 19:50:08: Received token via unicast
z11_node2  | [INFO] 20-01-2026 19:50:08: TOKEN: have_token=1 pending=0 inflight=0
z11_node3  | [INFO] 20-01-2026 19:50:11: Received token via unicast
z11_node3  | [INFO] 20-01-2026 19:50:11: TOKEN: have_token=1 pending=0 inflight=0
z11_node4  | [INFO] 20-01-2026 19:50:13: Received token via unicast
z11_node4  | [INFO] 20-01-2026 19:50:13: TOKEN: have_token=1 pending=0 inflight=0
z11_node5  | [INFO] 20-01-2026 19:50:15: Received token via unicast
z11_node5  | [INFO] 20-01-2026 19:50:15: TOKEN: have_token=1 pending=0 inflight=0
z11_node6  | [INFO] 20-01-2026 19:50:17: Received token via unicast
z11_node6  | [INFO] 20-01-2026 19:50:17: TOKEN: have_token=1 pending=0 inflight=0
z11_node0  | [INFO] 20-01-2026 19:50:20: Received token via unicast
z11_node0  | [INFO] 20-01-2026 19:50:20: TOKEN: have_token=1 pending=0 inflight=0
z11_node1  | [INFO] 20-01-2026 19:50:24: Received token via unicast
z11_node1  | [INFO] 20-01-2026 19:50:24: TOKEN: have_token=1 pending=0 inflight=0
z11_node2  | [INFO] 20-01-2026 19:50:28: Received token via unicast
z11_node2  | [INFO] 20-01-2026 19:50:28: TOKEN: have_token=1 pending=0 inflight=0
z11_node3  | [INFO] 20-01-2026 19:50:35: Received token via unicast
z11_node3  | [INFO] 20-01-2026 19:50:35: TOKEN: have_token=1 pending=0 inflight=0
z11_node4  | [INFO] 20-01-2026 19:50:37: Received token via unicast
z11_node4  | [INFO] 20-01-2026 19:50:37: TOKEN: have_token=1 pending=0 inflight=0
z11_node5  | [INFO] 20-01-2026 19:50:44: Received token via unicast
z11_node5  | [INFO] 20-01-2026 19:50:44: TOKEN: have_token=1 pending=0 inflight=0
z11_node6  | [INFO] 20-01-2026 19:50:53: Received token via unicast
z11_node6  | [INFO] 20-01-2026 19:50:53: TOKEN: have_token=1 pending=0 inflight=0
z11_node0  | [INFO] 20-01-2026 19:50:56: Received token via unicast
z11_node0  | [INFO] 20-01-2026 19:50:56: TOKEN: have_token=1 pending=0 inflight=0
z11_node1  | [INFO] 20-01-2026 19:50:58: Received token via unicast
z11_node1  | [INFO] 20-01-2026 19:50:58: TOKEN: have_token=1 pending=0 inflight=0
z11_node2  | [INFO] 20-01-2026 19:51:00: Received token via unicast
z11_node2  | [INFO] 20-01-2026 19:51:00: TOKEN: have_token=1 pending=0 inflight=0
z11_node3  | [INFO] 20-01-2026 19:51:02: Received token via unicast
z11_node3  | [INFO] 20-01-2026 19:51:02: TOKEN: have_token=1 pending=0 inflight=0
z11_node4  | [INFO] 20-01-2026 19:51:06: Received token via unicast
z11_node4  | [INFO] 20-01-2026 19:51:06: TOKEN: have_token=1 pending=0 inflight=0

