z11_node0  | [INFO] 21-01-2026 19:51:35: Node initalized, waiting for UDP packets
z11_node0  | [INFO] 21-01-2026 19:51:35: TOKEN: have_token=1 pending=0 inflight=0
z11_node0  | [INFO] 21-01-2026 19:51:37: JOIN_REQUEST id=157074605 name=node3 uni=5000 from=172.18.0.2
z11_node0  | [INFO] 21-01-2026 19:51:37: JOIN_REQUEST id=1227623603 name=node4 uni=5000 from=172.18.0.5
z11_node0  | [INFO] 21-01-2026 19:51:39: JOIN_REQUEST id=2769632242 name=node5 uni=5000 from=172.18.0.7
z11_node0  | [INFO] 21-01-2026 19:51:41: JOIN_REQUEST id=710564936 name=node6 uni=5000 from=172.18.0.8
z11_node0  | [INFO] 21-01-2026 19:51:43: JOIN_COMMIT: req=157074605 new=node3 topo=1
z11_node0  | [INFO] 21-01-2026 19:51:49: JOIN_REQUEST id=2769632242 name=node5 uni=5000 from=172.18.0.7
z11_node0  | [INFO] 21-01-2026 19:51:51: JOIN_REQUEST id=710564936 name=node6 uni=5000 from=172.18.0.8
z11_node0  | [INFO] 21-01-2026 19:51:53: JOIN_COMMIT: req=1227623603 new=node4 topo=2
z11_node0  | [INFO] 21-01-2026 19:52:01: JOIN_REQUEST id=710564936 name=node6 uni=5000 from=172.18.0.8
z11_node0  | [INFO] 21-01-2026 19:52:03: JOIN_COMMIT: req=2769632242 new=node5 topo=3
z11_node0  | [INFO] 21-01-2026 19:52:08: JOIN_COMMIT: req=710564936 new=node6 topo=4
z11_node0  | [INFO] 21-01-2026 19:52:15: Received token via unicast
z11_node0  | [INFO] 21-01-2026 19:52:15: TOKEN: have_token=1 pending=0 inflight=0
z11_node0  | [INFO] 21-01-2026 19:52:22: Received token via unicast
z11_node0  | [INFO] 21-01-2026 19:52:22: TOKEN: have_token=1 pending=0 inflight=0
z11_node0  | [INFO] 21-01-2026 19:52:29: Received token via unicast
z11_node0  | [INFO] 21-01-2026 19:52:29: TOKEN: have_token=1 pending=0 inflight=0
z11_node0  | [INFO] 21-01-2026 19:52:36: Received token via unicast
z11_node0  | [INFO] 21-01-2026 19:52:36: TOKEN: have_token=1 pending=0 inflight=0
z11_node0  | [INFO] 21-01-2026 19:52:43: Received token via unicast
z11_node0  | [INFO] 21-01-2026 19:52:43: TOKEN: have_token=1 pending=0 inflight=0
z11_node0  | [INFO] 21-01-2026 19:52:50: Received token via unicast
z11_node0  | [INFO] 21-01-2026 19:52:50: TOKEN: have_token=1 pending=0 inflight=0
z11_node0  | [INFO] 21-01-2026 19:52:57: Received token via unicast
z11_node0  | [INFO] 21-01-2026 19:52:57: TOKEN: have_token=1 pending=0 inflight=0
z11_node0  | [INFO] 21-01-2026 19:53:04: Received token via unicast
z11_node0  | [INFO] 21-01-2026 19:53:04: TOKEN: have_token=1 pending=0 inflight=0
z11_node0  | [INFO] 21-01-2026 19:53:11: Received token via unicast
z11_node0  | [INFO] 21-01-2026 19:53:11: TOKEN: have_token=1 pending=0 inflight=0
z11_node0  | [INFO] 21-01-2026 19:53:18: Received token via unicast
z11_node0  | [INFO] 21-01-2026 19:53:18: TOKEN: have_token=1 pending=0 inflight=0
z11_node0  | [INFO] 21-01-2026 19:53:25: Received token via unicast
z11_node0  | [INFO] 21-01-2026 19:53:25: TOKEN: have_token=1 pending=0 inflight=0
z11_node0  | [INFO] 21-01-2026 19:53:32: Received token via unicast
z11_node0  | [INFO] 21-01-2026 19:53:32: TOKEN: have_token=1 pending=0 inflight=0
z11_node0  | [INFO] 21-01-2026 19:53:39: Received token via unicast
z11_node0  | [INFO] 21-01-2026 19:53:39: TOKEN: have_token=1 pending=0 inflight=0
z11_node0  | [INFO] 21-01-2026 19:53:46: Received token via unicast
z11_node0  | [INFO] 21-01-2026 19:53:46: TOKEN: have_token=1 pending=0 inflight=0
z11_node0  | [INFO] 21-01-2026 19:53:53: Received token via unicast
z11_node0  | [INFO] 21-01-2026 19:53:53: TOKEN: have_token=1 pending=0 inflight=0
z11_node0  | [INFO] 21-01-2026 19:54:00: Received token via unicast
z11_node0  | [INFO] 21-01-2026 19:54:00: TOKEN: have_token=1 pending=0 inflight=0
z11_node0  | [INFO] 21-01-2026 19:54:07: Received token via unicast
z11_node0  | [INFO] 21-01-2026 19:54:07: TOKEN: have_token=1 pending=0 inflight=0
z11_node0  | [INFO] 21-01-2026 19:54:14: Received token via unicast
z11_node0  | [INFO] 21-01-2026 19:54:14: TOKEN: have_token=1 pending=0 inflight=0
z11_node0  | [INFO] 21-01-2026 19:54:21: Received token via unicast
z11_node0  | [INFO] 21-01-2026 19:54:21: TOKEN: have_token=1 pending=0 inflight=0
z11_node0  | [INFO] 21-01-2026 19:54:28: Received token via unicast
z11_node0  | [INFO] 21-01-2026 19:54:28: TOKEN: have_token=1 pending=0 inflight=0

