z11_node4  | [INFO] 21-01-2026 19:45:15: Node initalized, waiting for UDP packets
z11_node4  | [INFO] 21-01-2026 19:45:19: Received token via unicast
z11_node4  | [INFO] 21-01-2026 19:45:19: TOKEN: have_token=1 pending=0 inflight=0
z11_node4  | [INFO] 21-01-2026 19:45:26: Received token via unicast
z11_node4  | [INFO] 21-01-2026 19:45:26: TOKEN: have_token=1 pending=0 inflight=0
z11_node4  | [INFO] 21-01-2026 19:45:33: Received token via unicast
z11_node4  | [INFO] 21-01-2026 19:45:33: TOKEN: have_token=1 pending=0 inflight=0
z11_node4  | [INFO] 21-01-2026 19:45:40: Received token via unicast
z11_node4  | [INFO] 21-01-2026 19:45:40: TOKEN: have_token=1 pending=0 inflight=0
z11_node4  | [INFO] 21-01-2026 19:45:47: Received token via unicast
z11_node4  | [INFO] 21-01-2026 19:45:47: TOKEN: have_token=1 pending=0 inflight=0
z11_node4  | [INFO] 21-01-2026 19:45:54: Received token via unicast
z11_node4  | [INFO] 21-01-2026 19:45:54: TOKEN: have_token=1 pending=0 inflight=0
z11_node4  | [INFO] 21-01-2026 19:46:01: Received token via unicast
z11_node4  | [INFO] 21-01-2026 19:46:01: TOKEN: have_token=1 pending=0 inflight=0
z11_node4  | [INFO] 21-01-2026 19:46:08: Received token via unicast
z11_node4  | [INFO] 21-01-2026 19:46:08: TOKEN: have_token=1 pending=0 inflight=0
z11_node4  | [INFO] 21-01-2026 19:46:15: Received token via unicast
z11_node4  | [INFO] 21-01-2026 19:46:15: TOKEN: have_token=1 pending=0 inflight=0
z11_node4  | [INFO] 21-01-2026 19:46:23: Received token via unicast
z11_node4  | [INFO] 21-01-2026 19:46:23: TOKEN: have_token=1 pending=0 inflight=0
z11_node4  | [INFO] 21-01-2026 19:46:30: Received token via unicast
z11_node4  | [INFO] 21-01-2026 19:46:30: TOKEN: have_token=1 pending=0 inflight=0
z11_node4  | [INFO] 21-01-2026 19:46:37: Received token via unicast
z11_node4  | [INFO] 21-01-2026 19:46:37: TOKEN: have_token=1 pending=0 inflight=0
z11_node4  | [INFO] 21-01-2026 19:46:44: Received token via unicast
z11_node4  | [INFO] 21-01-2026 19:46:44: TOKEN: have_token=1 pending=0 inflight=0
z11_node4  | [INFO] 21-01-2026 19:46:51: Received token via unicast
z11_node4  | [INFO] 21-01-2026 19:46:51: TOKEN: have_token=1 pending=0 inflight=0
z11_node4  | [INFO] 21-01-2026 19:46:58: Received token via unicast
z11_node4  | [INFO] 21-01-2026 19:46:58: TOKEN: have_token=1 pending=0 inflight=0
z11_node4  | [INFO] 21-01-2026 19:47:05: Received token via unicast
z11_node4  | [INFO] 21-01-2026 19:47:05: TOKEN: have_token=1 pending=0 inflight=0
z11_node4  | [INFO] 21-01-2026 19:47:12: Received token via unicast
z11_node4  | [INFO] 21-01-2026 19:47:12: TOKEN: have_token=1 pending=0 inflight=0
z11_node4  | [INFO] 21-01-2026 19:47:19: Received token via unicast
z11_node4  | [INFO] 21-01-2026 19:47:19: TOKEN: have_token=1 pending=0 inflight=0
z11_node4  | [INFO] 21-01-2026 19:47:26: Received token via unicast
z11_node4  | [INFO] 21-01-2026 19:47:26: TOKEN: have_token=1 pending=0 inflight=0
z11_node4  | [INFO] 21-01-2026 19:47:33: Received token via unicast
z11_node4  | [INFO] 21-01-2026 19:47:33: TOKEN: have_token=1 pending=0 inflight=0
z11_node4  | [INFO] 21-01-2026 19:47:40: Received token via unicast
z11_node4  | [INFO] 21-01-2026 19:47:40: TOKEN: have_token=1 pending=0 inflight=0
z11_node4  | [INFO] 21-01-2026 19:47:47: Received token via unicast
z11_node4  | [INFO] 21-01-2026 19:47:47: TOKEN: have_token=1 pending=0 inflight=0
z11_node4  | [INFO] 21-01-2026 19:47:54: Received token via unicast
z11_node4  | [INFO] 21-01-2026 19:47:54: TOKEN: have_token=1 pending=0 inflight=0
z11_node4  | [INFO] 21-01-2026 19:48:01: Received token via unicast
z11_node4  | [INFO] 21-01-2026 19:48:01: TOKEN: have_token=1 pending=0 inflight=0
z11_node4  | [INFO] 21-01-2026 19:48:08: Received token via unicast
z11_node4  | [INFO] 21-01-2026 19:48:08: TOKEN: have_token=1 pending=0 inflight=0

