z11_node3  | [INFO] 21-01-2026 19:45:15: Node initalized, waiting for UDP packets
z11_node5  | [INFO] 21-01-2026 19:45:15: Node initalized, waiting for UDP packets
z11_node0  | [INFO] 21-01-2026 19:45:15: Node initalized, waiting for UDP packets
z11_node0  | [INFO] 21-01-2026 19:45:15: TOKEN: have_token=1 pending=0 inflight=0
z11_node6  | [INFO] 21-01-2026 19:45:15: Node initalized, waiting for UDP packets
z11_node1  | [INFO] 21-01-2026 19:45:15: Node initalized, waiting for UDP packets
z11_node4  | [INFO] 21-01-2026 19:45:15: Node initalized, waiting for UDP packets
z11_node2  | [INFO] 21-01-2026 19:45:15: Node initalized, waiting for UDP packets
z11_node1  | [INFO] 21-01-2026 19:45:16: Received token via unicast
z11_node1  | [INFO] 21-01-2026 19:45:16: TOKEN: have_token=1 pending=0 inflight=0
z11_node2  | [INFO] 21-01-2026 19:45:17: Received token via unicast
z11_node2  | [INFO] 21-01-2026 19:45:17: TOKEN: have_token=1 pending=0 inflight=0
z11_node3  | [INFO] 21-01-2026 19:45:18: Received token via unicast
z11_node3  | [INFO] 21-01-2026 19:45:18: TOKEN: have_token=1 pending=0 inflight=0
z11_node4  | [INFO] 21-01-2026 19:45:19: Received token via unicast
z11_node4  | [INFO] 21-01-2026 19:45:19: TOKEN: have_token=1 pending=0 inflight=0
z11_node5  | [INFO] 21-01-2026 19:45:20: Received token via unicast
z11_node5  | [INFO] 21-01-2026 19:45:20: TOKEN: have_token=1 pending=0 inflight=0
z11_node6  | [INFO] 21-01-2026 19:45:21: Received token via unicast
z11_node6  | [INFO] 21-01-2026 19:45:21: TOKEN: have_token=1 pending=0 inflight=0
z11_node0  | [INFO] 21-01-2026 19:45:22: Received token via unicast
z11_node0  | [INFO] 21-01-2026 19:45:22: TOKEN: have_token=1 pending=0 inflight=0
z11_node1  | [INFO] 21-01-2026 19:45:23: Received token via unicast
z11_node1  | [INFO] 21-01-2026 19:45:23: TOKEN: have_token=1 pending=0 inflight=0
z11_node2  | [INFO] 21-01-2026 19:45:24: Received token via unicast
z11_node2  | [INFO] 21-01-2026 19:45:24: TOKEN: have_token=1 pending=0 inflight=0
z11_node3  | [INFO] 21-01-2026 19:45:25: Received token via unicast
z11_node3  | [INFO] 21-01-2026 19:45:25: TOKEN: have_token=1 pending=0 inflight=0
z11_node4  | [INFO] 21-01-2026 19:45:26: Received token via unicast
z11_node4  | [INFO] 21-01-2026 19:45:26: TOKEN: have_token=1 pending=0 inflight=0
z11_node5  | [INFO] 21-01-2026 19:45:27: Received token via unicast
z11_node5  | [INFO] 21-01-2026 19:45:27: TOKEN: have_token=1 pending=0 inflight=0
z11_node6  | [INFO] 21-01-2026 19:45:28: Received token via unicast
z11_node6  | [INFO] 21-01-2026 19:45:28: TOKEN: have_token=1 pending=0 inflight=0
z11_node0  | [INFO] 21-01-2026 19:45:29: Received token via unicast
z11_node0  | [INFO] 21-01-2026 19:45:29: TOKEN: have_token=1 pending=0 inflight=0
z11_node1  | [INFO] 21-01-2026 19:45:30: Received token via unicast
z11_node1  | [INFO] 21-01-2026 19:45:30: TOKEN: have_token=1 pending=0 inflight=0
z11_node2  | [INFO] 21-01-2026 19:45:31: Received token via unicast
z11_node2  | [INFO] 21-01-2026 19:45:31: TOKEN: have_token=1 pending=0 inflight=0
z11_node3  | [INFO] 21-01-2026 19:45:32: Received token via unicast
z11_node3  | [INFO] 21-01-2026 19:45:32: TOKEN: have_token=1 pending=0 inflight=0
z11_node4  | [INFO] 21-01-2026 19:45:33: Received token via unicast
z11_node4  | [INFO] 21-01-2026 19:45:33: TOKEN: have_token=1 pending=0 inflight=0
z11_node5  | [INFO] 21-01-2026 19:45:34: Received token via unicast
z11_node5  | [INFO] 21-01-2026 19:45:34: TOKEN: have_token=1 pending=0 inflight=0
z11_node6  | [INFO] 21-01-2026 19:45:35: Received token via unicast
z11_node6  | [INFO] 21-01-2026 19:45:35: TOKEN: have_token=1 pending=0 inflight=0
z11_node0  | [INFO] 21-01-2026 19:45:36: Received token via unicast
z11_node0  | [INFO] 21-01-2026 19:45:36: TOKEN: have_token=1 pending=0 inflight=0
z11_node1  | [INFO] 21-01-2026 19:45:37: Received token via unicast
z11_node1  | [INFO] 21-01-2026 19:45:37: TOKEN: have_token=1 pending=0 inflight=0
z11_node2  | [INFO] 21-01-2026 19:45:38: Received token via unicast
z11_node2  | [INFO] 21-01-2026 19:45:38: TOKEN: have_token=1 pending=0 inflight=0
z11_node3  | [INFO] 21-01-2026 19:45:39: Received token via unicast
z11_node3  | [INFO] 21-01-2026 19:45:39: TOKEN: have_token=1 pending=0 inflight=0
z11_node4  | [INFO] 21-01-2026 19:45:40: Received token via unicast
z11_node4  | [INFO] 21-01-2026 19:45:40: TOKEN: have_token=1 pending=0 inflight=0
z11_node5  | [INFO] 21-01-2026 19:45:41: Received token via unicast
z11_node5  | [INFO] 21-01-2026 19:45:41: TOKEN: have_token=1 pending=0 inflight=0
z11_node6  | [INFO] 21-01-2026 19:45:42: Received token via unicast
z11_node6  | [INFO] 21-01-2026 19:45:42: TOKEN: have_token=1 pending=0 inflight=0
z11_node0  | [INFO] 21-01-2026 19:45:43: Received token via unicast
z11_node0  | [INFO] 21-01-2026 19:45:43: TOKEN: have_token=1 pending=0 inflight=0
z11_node1  | [INFO] 21-01-2026 19:45:44: Received token via unicast
z11_node1  | [INFO] 21-01-2026 19:45:44: TOKEN: have_token=1 pending=0 inflight=0
z11_node2  | [INFO] 21-01-2026 19:45:45: Received token via unicast
z11_node2  | [INFO] 21-01-2026 19:45:45: TOKEN: have_token=1 pending=0 inflight=0
z11_node3  | [INFO] 21-01-2026 19:45:46: Received token via unicast
z11_node3  | [INFO] 21-01-2026 19:45:46: TOKEN: have_token=1 pending=0 inflight=0
z11_node4  | [INFO] 21-01-2026 19:45:47: Received token via unicast
z11_node4  | [INFO] 21-01-2026 19:45:47: TOKEN: have_token=1 pending=0 inflight=0
z11_node5  | [INFO] 21-01-2026 19:45:48: Received token via unicast
z11_node5  | [INFO] 21-01-2026 19:45:48: TOKEN: have_token=1 pending=0 inflight=0
z11_node6  | [INFO] 21-01-2026 19:45:49: Received token via unicast
z11_node6  | [INFO] 21-01-2026 19:45:49: TOKEN: have_token=1 pending=0 inflight=0
z11_node0  | [INFO] 21-01-2026 19:45:50: Received token via unicast
z11_node0  | [INFO] 21-01-2026 19:45:50: TOKEN: have_token=1 pending=0 inflight=0
z11_node1  | [INFO] 21-01-2026 19:45:51: Received token via unicast
z11_node1  | [INFO] 21-01-2026 19:45:51: TOKEN: have_token=1 pending=0 inflight=0
z11_node2  | [INFO] 21-01-2026 19:45:52: Received token via unicast
z11_node2  | [INFO] 21-01-2026 19:45:52: TOKEN: have_token=1 pending=0 inflight=0
z11_node3  | [INFO] 21-01-2026 19:45:53: Received token via unicast
z11_node3  | [INFO] 21-01-2026 19:45:53: TOKEN: have_token=1 pending=0 inflight=0
z11_node4  | [INFO] 21-01-2026 19:45:54: Received token via unicast
z11_node4  | [INFO] 21-01-2026 19:45:54: TOKEN: have_token=1 pending=0 inflight=0
z11_node5  | [INFO] 21-01-2026 19:45:55: Received token via unicast
z11_node5  | [INFO] 21-01-2026 19:45:55: TOKEN: have_token=1 pending=0 inflight=0
z11_node6  | [INFO] 21-01-2026 19:45:56: Received token via unicast
z11_node6  | [INFO] 21-01-2026 19:45:56: TOKEN: have_token=1 pending=0 inflight=0
z11_node0  | [INFO] 21-01-2026 19:45:57: Received token via unicast
z11_node0  | [INFO] 21-01-2026 19:45:57: TOKEN: have_token=1 pending=0 inflight=0
z11_node1  | [INFO] 21-01-2026 19:45:58: Received token via unicast
z11_node1  | [INFO] 21-01-2026 19:45:58: TOKEN: have_token=1 pending=0 inflight=0
z11_node2  | [INFO] 21-01-2026 19:45:59: Received token via unicast
z11_node2  | [INFO] 21-01-2026 19:45:59: TOKEN: have_token=1 pending=0 inflight=0
z11_node3  | [INFO] 21-01-2026 19:46:00: Received token via unicast
z11_node3  | [INFO] 21-01-2026 19:46:00: TOKEN: have_token=1 pending=0 inflight=0
z11_node4  | [INFO] 21-01-2026 19:46:01: Received token via unicast
z11_node4  | [INFO] 21-01-2026 19:46:01: TOKEN: have_token=1 pending=0 inflight=0
z11_node5  | [INFO] 21-01-2026 19:46:02: Received token via unicast
z11_node5  | [INFO] 21-01-2026 19:46:02: TOKEN: have_token=1 pending=0 inflight=0
z11_node6  | [INFO] 21-01-2026 19:46:03: Received token via unicast
z11_node6  | [INFO] 21-01-2026 19:46:03: TOKEN: have_token=1 pending=0 inflight=0
z11_node0  | [INFO] 21-01-2026 19:46:04: Received token via unicast
z11_node0  | [INFO] 21-01-2026 19:46:04: TOKEN: have_token=1 pending=0 inflight=0
z11_node1  | [INFO] 21-01-2026 19:46:05: Received token via unicast
z11_node1  | [INFO] 21-01-2026 19:46:05: TOKEN: have_token=1 pending=0 inflight=0
z11_node2  | [INFO] 21-01-2026 19:46:06: Received token via unicast
z11_node2  | [INFO] 21-01-2026 19:46:06: TOKEN: have_token=1 pending=0 inflight=0
z11_node3  | [INFO] 21-01-2026 19:46:07: Received token via unicast
z11_node3  | [INFO] 21-01-2026 19:46:07: TOKEN: have_token=1 pending=0 inflight=0
z11_node4  | [INFO] 21-01-2026 19:46:08: Received token via unicast
z11_node4  | [INFO] 21-01-2026 19:46:08: TOKEN: have_token=1 pending=0 inflight=0
z11_node5  | [INFO] 21-01-2026 19:46:09: Received token via unicast
z11_node5  | [INFO] 21-01-2026 19:46:09: TOKEN: have_token=1 pending=0 inflight=0
z11_node6  | [INFO] 21-01-2026 19:46:10: Received token via unicast
z11_node6  | [INFO] 21-01-2026 19:46:10: TOKEN: have_token=1 pending=0 inflight=0
z11_node0  | [INFO] 21-01-2026 19:46:11: Received token via unicast
z11_node0  | [INFO] 21-01-2026 19:46:11: TOKEN: have_token=1 pending=0 inflight=0
z11_node1  | [INFO] 21-01-2026 19:46:12: Received token via unicast
z11_node1  | [INFO] 21-01-2026 19:46:12: TOKEN: have_token=1 pending=0 inflight=0
z11_node2  | [INFO] 21-01-2026 19:46:13: Received token via unicast
z11_node2  | [INFO] 21-01-2026 19:46:13: TOKEN: have_token=1 pending=0 inflight=0
z11_node3  | [INFO] 21-01-2026 19:46:14: Received token via unicast
