z11_node2  | [INFO] 20-01-2026 19:45:15: Node initalized, waiting for UDP packets
z11_node2  | [INFO] 20-01-2026 19:45:17: Received token via unicast
z11_node2  | [INFO] 20-01-2026 19:45:17: TOKEN: have_token=1 pending=0 inflight=0
z11_node2  | [INFO] 20-01-2026 19:45:24: Received token via unicast
z11_node2  | [INFO] 20-01-2026 19:45:24: TOKEN: have_token=1 pending=0 inflight=0
z11_node2  | [INFO] 20-01-2026 19:45:31: Received token via unicast
z11_node2  | [INFO] 20-01-2026 19:45:31: TOKEN: have_token=1 pending=0 inflight=0
z11_node2  | [INFO] 20-01-2026 19:45:38: Received token via unicast
z11_node2  | [INFO] 20-01-2026 19:45:38: TOKEN: have_token=1 pending=0 inflight=0
z11_node2  | [INFO] 20-01-2026 19:45:45: Received token via unicast
z11_node2  | [INFO] 20-01-2026 19:45:45: TOKEN: have_token=1 pending=0 inflight=0
z11_node2  | [INFO] 20-01-2026 19:45:52: Received token via unicast
z11_node2  | [INFO] 20-01-2026 19:45:52: TOKEN: have_token=1 pending=0 inflight=0
z11_node2  | [INFO] 20-01-2026 19:45:59: Received token via unicast
z11_node2  | [INFO] 20-01-2026 19:45:59: TOKEN: have_token=1 pending=0 inflight=0
z11_node2  | [INFO] 20-01-2026 19:46:06: Received token via unicast
z11_node2  | [INFO] 20-01-2026 19:46:06: TOKEN: have_token=1 pending=0 inflight=0
z11_node2  | [INFO] 20-01-2026 19:46:13: Received token via unicast
z11_node2  | [INFO] 20-01-2026 19:46:13: TOKEN: have_token=1 pending=0 inflight=0
z11_node2  | [INFO] 20-01-2026 19:46:21: Received token via unicast
z11_node2  | [INFO] 20-01-2026 19:46:21: TOKEN: have_token=1 pending=0 inflight=0
z11_node2  | [INFO] 20-01-2026 19:46:28: Received token via unicast
z11_node2  | [INFO] 20-01-2026 19:46:28: TOKEN: have_token=1 pending=0 inflight=0
z11_node2  | [INFO] 20-01-2026 19:46:35: Received token via unicast
z11_node2  | [INFO] 20-01-2026 19:46:35: TOKEN: have_token=1 pending=0 inflight=0
z11_node2  | [INFO] 20-01-2026 19:46:42: Received token via unicast
z11_node2  | [INFO] 20-01-2026 19:46:42: TOKEN: have_token=1 pending=0 inflight=0
z11_node2  | [INFO] 20-01-2026 19:46:49: Received token via unicast
z11_node2  | [INFO] 20-01-2026 19:46:49: TOKEN: have_token=1 pending=0 inflight=0
z11_node2  | [INFO] 20-01-2026 19:46:56: Received token via unicast
z11_node2  | [INFO] 20-01-2026 19:46:56: TOKEN: have_token=1 pending=0 inflight=0
z11_node2  | [INFO] 20-01-2026 19:47:03: Received token via unicast
z11_node2  | [INFO] 20-01-2026 19:47:03: TOKEN: have_token=1 pending=0 inflight=0
z11_node2  | [INFO] 20-01-2026 19:47:10: Received token via unicast
z11_node2  | [INFO] 20-01-2026 19:47:10: TOKEN: have_token=1 pending=0 inflight=0
z11_node2  | [INFO] 20-01-2026 19:47:17: Received token via unicast
z11_node2  | [INFO] 20-01-2026 19:47:17: TOKEN: have_token=1 pending=0 inflight=0
z11_node2  | [INFO] 20-01-2026 19:47:24: Received token via unicast
z11_node2  | [INFO] 20-01-2026 19:47:24: TOKEN: have_token=1 pending=0 inflight=0
z11_node2  | [INFO] 20-01-2026 19:47:31: Received token via unicast
z11_node2  | [INFO] 20-01-2026 19:47:31: TOKEN: have_token=1 pending=0 inflight=0
z11_node2  | [INFO] 20-01-2026 19:47:38: Received token via unicast
z11_node2  | [INFO] 20-01-2026 19:47:38: TOKEN: have_token=1 pending=0 inflight=0
z11_node2  | [INFO] 20-01-2026 19:47:45: Received token via unicast
z11_node2  | [INFO] 20-01-2026 19:47:45: TOKEN: have_token=1 pending=0 inflight=0
z11_node2  | [INFO] 20-01-2026 19:47:52: Received token via unicast
z11_node2  | [INFO] 20-01-2026 19:47:52: TOKEN: have_token=1 pending=0 inflight=0
z11_node2  | [INFO] 20-01-2026 19:47:59: Received token via unicast
z11_node2  | [INFO] 20-01-2026 19:47:59: TOKEN: have_token=1 pending=0 inflight=0
z11_node2  | [INFO] 20-01-2026 19:48:06: Received token via unicast
z11_node2  | [INFO] 20-01-2026 19:48:06: TOKEN: have_token=1 pending=0 inflight=0

