z11_node3  | [INFO] 20-01-2026 19:45:15: Node initalized, waiting for UDP packets
z11_node3  | [INFO] 20-01-2026 19:45:18: Received token via unicast
z11_node3  | [INFO] 20-01-2026 19:45:18: TOKEN: have_token=1 pending=0 inflight=0
z11_node3  | [INFO] 20-01-2026 19:45:25: Received token via unicast
z11_node3  | [INFO] 20-01-2026 19:45:25: TOKEN: have_token=1 pending=0 inflight=0
z11_node3  | [INFO] 20-01-2026 19:45:32: Received token via unicast
z11_node3  | [INFO] 20-01-2026 19:45:32: TOKEN: have_token=1 pending=0 inflight=0
z11_node3  | [INFO] 20-01-2026 19:45:39: Received token via unicast
z11_node3  | [INFO] 20-01-2026 19:45:39: TOKEN: have_token=1 pending=0 inflight=0
z11_node3  | [INFO] 20-01-2026 19:45:46: Received token via unicast
z11_node3  | [INFO] 20-01-2026 19:45:46: TOKEN: have_token=1 pending=0 inflight=0
z11_node3  | [INFO] 20-01-2026 19:45:53: Received token via unicast
z11_node3  | [INFO] 20-01-2026 19:45:53: TOKEN: have_token=1 pending=0 inflight=0
z11_node3  | [INFO] 20-01-2026 19:46:00: Received token via unicast
z11_node3  | [INFO] 20-01-2026 19:46:00: TOKEN: have_token=1 pending=0 inflight=0
z11_node3  | [INFO] 20-01-2026 19:46:07: Received token via unicast
z11_node3  | [INFO] 20-01-2026 19:46:07: TOKEN: have_token=1 pending=0 inflight=0
z11_node3  | [INFO] 20-01-2026 19:46:14: Received token via unicast
z11_node3  | [INFO] 20-01-2026 19:46:14: TOKEN: have_token=1 pending=0 inflight=0
z11_node3  | [INFO] 20-01-2026 19:46:22: Received token via unicast
z11_node3  | [INFO] 20-01-2026 19:46:22: TOKEN: have_token=1 pending=0 inflight=0
z11_node3  | [INFO] 20-01-2026 19:46:29: Received token via unicast
z11_node3  | [INFO] 20-01-2026 19:46:29: TOKEN: have_token=1 pending=0 inflight=0
z11_node3  | [INFO] 20-01-2026 19:46:36: Received token via unicast
z11_node3  | [INFO] 20-01-2026 19:46:36: TOKEN: have_token=1 pending=0 inflight=0
z11_node3  | [INFO] 20-01-2026 19:46:43: Received token via unicast
z11_node3  | [INFO] 20-01-2026 19:46:43: TOKEN: have_token=1 pending=0 inflight=0
z11_node3  | [INFO] 20-01-2026 19:46:50: Received token via unicast
z11_node3  | [INFO] 20-01-2026 19:46:50: TOKEN: have_token=1 pending=0 inflight=0
z11_node3  | [INFO] 20-01-2026 19:46:57: Received token via unicast
z11_node3  | [INFO] 20-01-2026 19:46:57: TOKEN: have_token=1 pending=0 inflight=0
z11_node3  | [INFO] 20-01-2026 19:47:04: Received token via unicast
z11_node3  | [INFO] 20-01-2026 19:47:04: TOKEN: have_token=1 pending=0 inflight=0
z11_node3  | [INFO] 20-01-2026 19:47:11: Received token via unicast
z11_node3  | [INFO] 20-01-2026 19:47:11: TOKEN: have_token=1 pending=0 inflight=0
z11_node3  | [INFO] 20-01-2026 19:47:18: Received token via unicast
z11_node3  | [INFO] 20-01-2026 19:47:18: TOKEN: have_token=1 pending=0 inflight=0
z11_node3  | [INFO] 20-01-2026 19:47:25: Received token via unicast
z11_node3  | [INFO] 20-01-2026 19:47:25: TOKEN: have_token=1 pending=0 inflight=0
z11_node3  | [INFO] 20-01-2026 19:47:32: Received token via unicast
z11_node3  | [INFO] 20-01-2026 19:47:32: TOKEN: have_token=1 pending=0 inflight=0
z11_node3  | [INFO] 20-01-2026 19:47:39: Received token via unicast
z11_node3  | [INFO] 20-01-2026 19:47:39: TOKEN: have_token=1 pending=0 inflight=0
z11_node3  | [INFO] 20-01-2026 19:47:46: Received token via unicast
z11_node3  | [INFO] 20-01-2026 19:47:46: TOKEN: have_token=1 pending=0 inflight=0
z11_node3  | [INFO] 20-01-2026 19:47:53: Received token via unicast
z11_node3  | [INFO] 20-01-2026 19:47:53: TOKEN: have_token=1 pending=0 inflight=0
z11_node3  | [INFO] 20-01-2026 19:48:00: Received token via unicast
z11_node3  | [INFO] 20-01-2026 19:48:00: TOKEN: have_token=1 pending=0 inflight=0
z11_node3  | [INFO] 20-01-2026 19:48:07: Received token via unicast
z11_node3  | [INFO] 20-01-2026 19:48:07: TOKEN: have_token=1 pending=0 inflight=0

