z11_node0  | [INFO] 21-01-2026 19:45:15: Node initalized, waiting for UDP packets
z11_node0  | [INFO] 21-01-2026 19:45:15: TOKEN: have_token=1 pending=0 inflight=0
z11_node0  | [INFO] 21-01-2026 19:45:22: Received token via unicast
z11_node0  | [INFO] 21-01-2026 19:45:22: TOKEN: have_token=1 pending=0 inflight=0
z11_node0  | [INFO] 21-01-2026 19:45:29: Received token via unicast
z11_node0  | [INFO] 21-01-2026 19:45:29: TOKEN: have_token=1 pending=0 inflight=0
z11_node0  | [INFO] 21-01-2026 19:45:36: Received token via unicast
z11_node0  | [INFO] 21-01-2026 19:45:36: TOKEN: have_token=1 pending=0 inflight=0
z11_node0  | [INFO] 21-01-2026 19:45:43: Received token via unicast
z11_node0  | [INFO] 21-01-2026 19:45:43: TOKEN: have_token=1 pending=0 inflight=0
z11_node0  | [INFO] 21-01-2026 19:45:50: Received token via unicast
z11_node0  | [INFO] 21-01-2026 19:45:50: TOKEN: have_token=1 pending=0 inflight=0
z11_node0  | [INFO] 21-01-2026 19:45:57: Received token via unicast
z11_node0  | [INFO] 21-01-2026 19:45:57: TOKEN: have_token=1 pending=0 inflight=0
z11_node0  | [INFO] 21-01-2026 19:46:04: Received token via unicast
z11_node0  | [INFO] 21-01-2026 19:46:04: TOKEN: have_token=1 pending=0 inflight=0
z11_node0  | [INFO] 21-01-2026 19:46:11: Received token via unicast
z11_node0  | [INFO] 21-01-2026 19:46:11: TOKEN: have_token=1 pending=0 inflight=0
z11_node0  | [INFO] 21-01-2026 19:46:18: Received token via unicast
z11_node0  | [INFO] 21-01-2026 19:46:18: TOKEN: have_token=1 pending=0 inflight=0
z11_node0  | [INFO] 21-01-2026 19:46:26: Received token via unicast
z11_node0  | [INFO] 21-01-2026 19:46:26: TOKEN: have_token=1 pending=0 inflight=0
z11_node0  | [INFO] 21-01-2026 19:46:33: Received token via unicast
z11_node0  | [INFO] 21-01-2026 19:46:33: TOKEN: have_token=1 pending=0 inflight=0
z11_node0  | [INFO] 21-01-2026 19:46:40: Received token via unicast
z11_node0  | [INFO] 21-01-2026 19:46:40: TOKEN: have_token=1 pending=0 inflight=0
z11_node0  | [INFO] 21-01-2026 19:46:47: Received token via unicast
z11_node0  | [INFO] 21-01-2026 19:46:47: TOKEN: have_token=1 pending=0 inflight=0
z11_node0  | [INFO] 21-01-2026 19:46:54: Received token via unicast
z11_node0  | [INFO] 21-01-2026 19:46:54: TOKEN: have_token=1 pending=0 inflight=0
z11_node0  | [INFO] 21-01-2026 19:47:01: Received token via unicast
z11_node0  | [INFO] 21-01-2026 19:47:01: TOKEN: have_token=1 pending=0 inflight=0
z11_node0  | [INFO] 21-01-2026 19:47:08: Received token via unicast
z11_node0  | [INFO] 21-01-2026 19:47:08: TOKEN: have_token=1 pending=0 inflight=0
z11_node0  | [INFO] 21-01-2026 19:47:15: Received token via unicast
z11_node0  | [INFO] 21-01-2026 19:47:15: TOKEN: have_token=1 pending=0 inflight=0
z11_node0  | [INFO] 21-01-2026 19:47:22: Received token via unicast
z11_node0  | [INFO] 21-01-2026 19:47:22: TOKEN: have_token=1 pending=0 inflight=0
z11_node0  | [INFO] 21-01-2026 19:47:29: Received token via unicast
z11_node0  | [INFO] 21-01-2026 19:47:29: TOKEN: have_token=1 pending=0 inflight=0
z11_node0  | [INFO] 21-01-2026 19:47:36: Received token via unicast
z11_node0  | [INFO] 21-01-2026 19:47:36: TOKEN: have_token=1 pending=0 inflight=0
z11_node0  | [INFO] 21-01-2026 19:47:43: Received token via unicast
z11_node0  | [INFO] 21-01-2026 19:47:43: TOKEN: have_token=1 pending=0 inflight=0
z11_node0  | [INFO] 21-01-2026 19:47:50: Received token via unicast
z11_node0  | [INFO] 21-01-2026 19:47:50: TOKEN: have_token=1 pending=0 inflight=0
z11_node0  | [INFO] 21-01-2026 19:47:57: Received token via unicast
z11_node0  | [INFO] 21-01-2026 19:47:57: TOKEN: have_token=1 pending=0 inflight=0
z11_node0  | [INFO] 21-01-2026 19:48:04: Received token via unicast
z11_node0  | [INFO] 21-01-2026 19:48:04: TOKEN: have_token=1 pending=0 inflight=0
z11_node0  | [INFO] 21-01-2026 19:48:11: Received token via unicast
z11_node0  | [INFO] 21-01-2026 19:48:11: TOKEN: have_token=1 pending=0 inflight=0

