z11_node6  | [INFO] 20-01-2026 19:45:15: Node initalized, waiting for UDP packets
z11_node6  | [INFO] 20-01-2026 19:45:21: Received token via unicast
z11_node6  | [INFO] 20-01-2026 19:45:21: TOKEN: have_token=1 pending=0 inflight=0
z11_node6  | [INFO] 20-01-2026 19:45:28: Received token via unicast
z11_node6  | [INFO] 20-01-2026 19:45:28: TOKEN: have_token=1 pending=0 inflight=0
z11_node6  | [INFO] 20-01-2026 19:45:35: Received token via unicast
z11_node6  | [INFO] 20-01-2026 19:45:35: TOKEN: have_token=1 pending=0 inflight=0
z11_node6  | [INFO] 20-01-2026 19:45:42: Received token via unicast
z11_node6  | [INFO] 20-01-2026 19:45:42: TOKEN: have_token=1 pending=0 inflight=0
z11_node6  | [INFO] 20-01-2026 19:45:49: Received token via unicast
z11_node6  | [INFO] 20-01-2026 19:45:49: TOKEN: have_token=1 pending=0 inflight=0
z11_node6  | [INFO] 20-01-2026 19:45:56: Received token via unicast
z11_node6  | [INFO] 20-01-2026 19:45:56: TOKEN: have_token=1 pending=0 inflight=0
z11_node6  | [INFO] 20-01-2026 19:46:03: Received token via unicast
z11_node6  | [INFO] 20-01-2026 19:46:03: TOKEN: have_token=1 pending=0 inflight=0
z11_node6  | [INFO] 20-01-2026 19:46:10: Received token via unicast
z11_node6  | [INFO] 20-01-2026 19:46:10: TOKEN: have_token=1 pending=0 inflight=0
z11_node6  | [INFO] 20-01-2026 19:46:17: Received token via unicast
z11_node6  | [INFO] 20-01-2026 19:46:17: TOKEN: have_token=1 pending=0 inflight=0
z11_node6  | [INFO] 20-01-2026 19:46:25: Received token via unicast
z11_node6  | [INFO] 20-01-2026 19:46:25: TOKEN: have_token=1 pending=0 inflight=0
z11_node6  | [INFO] 20-01-2026 19:46:32: Received token via unicast
z11_node6  | [INFO] 20-01-2026 19:46:32: TOKEN: have_token=1 pending=0 inflight=0
z11_node6  | [INFO] 20-01-2026 19:46:39: Received token via unicast
z11_node6  | [INFO] 20-01-2026 19:46:39: TOKEN: have_token=1 pending=0 inflight=0
z11_node6  | [INFO] 20-01-2026 19:46:46: Received token via unicast
z11_node6  | [INFO] 20-01-2026 19:46:46: TOKEN: have_token=1 pending=0 inflight=0
z11_node6  | [INFO] 20-01-2026 19:46:53: Received token via unicast
z11_node6  | [INFO] 20-01-2026 19:46:53: TOKEN: have_token=1 pending=0 inflight=0
z11_node6  | [INFO] 20-01-2026 19:47:00: Received token via unicast
z11_node6  | [INFO] 20-01-2026 19:47:00: TOKEN: have_token=1 pending=0 inflight=0
z11_node6  | [INFO] 20-01-2026 19:47:07: Received token via unicast
z11_node6  | [INFO] 20-01-2026 19:47:07: TOKEN: have_token=1 pending=0 inflight=0
z11_node6  | [INFO] 20-01-2026 19:47:14: Received token via unicast
z11_node6  | [INFO] 20-01-2026 19:47:14: TOKEN: have_token=1 pending=0 inflight=0
z11_node6  | [INFO] 20-01-2026 19:47:21: Received token via unicast
z11_node6  | [INFO] 20-01-2026 19:47:21: TOKEN: have_token=1 pending=0 inflight=0
z11_node6  | [INFO] 20-01-2026 19:47:28: Received token via unicast
z11_node6  | [INFO] 20-01-2026 19:47:28: TOKEN: have_token=1 pending=0 inflight=0
z11_node6  | [INFO] 20-01-2026 19:47:35: Received token via unicast
z11_node6  | [INFO] 20-01-2026 19:47:35: TOKEN: have_token=1 pending=0 inflight=0
z11_node6  | [INFO] 20-01-2026 19:47:42: Received token via unicast
z11_node6  | [INFO] 20-01-2026 19:47:42: TOKEN: have_token=1 pending=0 inflight=0
z11_node6  | [INFO] 20-01-2026 19:47:49: Received token via unicast
z11_node6  | [INFO] 20-01-2026 19:47:49: TOKEN: have_token=1 pending=0 inflight=0
z11_node6  | [INFO] 20-01-2026 19:47:56: Received token via unicast
z11_node6  | [INFO] 20-01-2026 19:47:56: TOKEN: have_token=1 pending=0 inflight=0
z11_node6  | [INFO] 20-01-2026 19:48:03: Received token via unicast
z11_node6  | [INFO] 20-01-2026 19:48:03: TOKEN: have_token=1 pending=0 inflight=0
z11_node6  | [INFO] 20-01-2026 19:48:10: Received token via unicast
z11_node6  | [INFO] 20-01-2026 19:48:10: TOKEN: have_token=1 pending=0 inflight=0

