z11_node1  | [INFO] 21-01-2026 19:45:15: Node initalized, waiting for UDP packets
z11_node1  | [INFO] 21-01-2026 19:45:16: Received token via unicast
z11_node1  | [INFO] 21-01-2026 19:45:16: TOKEN: have_token=1 pending=0 inflight=0
z11_node1  | [INFO] 21-01-2026 19:45:23: Received token via unicast
z11_node1  | [INFO] 21-01-2026 19:45:23: TOKEN: have_token=1 pending=0 inflight=0
z11_node1  | [INFO] 21-01-2026 19:45:30: Received token via unicast
z11_node1  | [INFO] 21-01-2026 19:45:30: TOKEN: have_token=1 pending=0 inflight=0
z11_node1  | [INFO] 21-01-2026 19:45:37: Received token via unicast
z11_node1  | [INFO] 21-01-2026 19:45:37: TOKEN: have_token=1 pending=0 inflight=0
z11_node1  | [INFO] 21-01-2026 19:45:44: Received token via unicast
z11_node1  | [INFO] 21-01-2026 19:45:44: TOKEN: have_token=1 pending=0 inflight=0
z11_node1  | [INFO] 21-01-2026 19:45:51: Received token via unicast
z11_node1  | [INFO] 21-01-2026 19:45:51: TOKEN: have_token=1 pending=0 inflight=0
z11_node1  | [INFO] 21-01-2026 19:45:58: Received token via unicast
z11_node1  | [INFO] 21-01-2026 19:45:58: TOKEN: have_token=1 pending=0 inflight=0
z11_node1  | [INFO] 21-01-2026 19:46:05: Received token via unicast
z11_node1  | [INFO] 21-01-2026 19:46:05: TOKEN: have_token=1 pending=0 inflight=0
z11_node1  | [INFO] 21-01-2026 19:46:12: Received token via unicast
z11_node1  | [INFO] 21-01-2026 19:46:12: TOKEN: have_token=1 pending=0 inflight=0
z11_node1  | [INFO] 21-01-2026 19:46:20: Received token via unicast
z11_node1  | [INFO] 21-01-2026 19:46:20: TOKEN: have_token=1 pending=0 inflight=0
z11_node1  | [INFO] 21-01-2026 19:46:27: Received token via unicast
z11_node1  | [INFO] 21-01-2026 19:46:27: TOKEN: have_token=1 pending=0 inflight=0
z11_node1  | [INFO] 21-01-2026 19:46:34: Received token via unicast
z11_node1  | [INFO] 21-01-2026 19:46:34: TOKEN: have_token=1 pending=0 inflight=0
z11_node1  | [INFO] 21-01-2026 19:46:41: Received token via unicast
z11_node1  | [INFO] 21-01-2026 19:46:41: TOKEN: have_token=1 pending=0 inflight=0
z11_node1  | [INFO] 21-01-2026 19:46:48: Received token via unicast
z11_node1  | [INFO] 21-01-2026 19:46:48: TOKEN: have_token=1 pending=0 inflight=0
z11_node1  | [INFO] 21-01-2026 19:46:55: Received token via unicast
z11_node1  | [INFO] 21-01-2026 19:46:55: TOKEN: have_token=1 pending=0 inflight=0
z11_node1  | [INFO] 21-01-2026 19:47:02: Received token via unicast
z11_node1  | [INFO] 21-01-2026 19:47:02: TOKEN: have_token=1 pending=0 inflight=0
z11_node1  | [INFO] 21-01-2026 19:47:09: Received token via unicast
z11_node1  | [INFO] 21-01-2026 19:47:09: TOKEN: have_token=1 pending=0 inflight=0
z11_node1  | [INFO] 21-01-2026 19:47:16: Received token via unicast
z11_node1  | [INFO] 21-01-2026 19:47:16: TOKEN: have_token=1 pending=0 inflight=0
z11_node1  | [INFO] 21-01-2026 19:47:23: Received token via unicast
z11_node1  | [INFO] 21-01-2026 19:47:23: TOKEN: have_token=1 pending=0 inflight=0
z11_node1  | [INFO] 21-01-2026 19:47:30: Received token via unicast
z11_node1  | [INFO] 21-01-2026 19:47:30: TOKEN: have_token=1 pending=0 inflight=0
z11_node1  | [INFO] 21-01-2026 19:47:37: Received token via unicast
z11_node1  | [INFO] 21-01-2026 19:47:37: TOKEN: have_token=1 pending=0 inflight=0
z11_node1  | [INFO] 21-01-2026 19:47:44: Received token via unicast
z11_node1  | [INFO] 21-01-2026 19:47:44: TOKEN: have_token=1 pending=0 inflight=0
z11_node1  | [INFO] 21-01-2026 19:47:51: Received token via unicast
z11_node1  | [INFO] 21-01-2026 19:47:51: TOKEN: have_token=1 pending=0 inflight=0
z11_node1  | [INFO] 21-01-2026 19:47:58: Received token via unicast
z11_node1  | [INFO] 21-01-2026 19:47:58: TOKEN: have_token=1 pending=0 inflight=0
z11_node1  | [INFO] 21-01-2026 19:48:05: Received token via unicast
z11_node1  | [INFO] 21-01-2026 19:48:05: TOKEN: have_token=1 pending=0 inflight=0
z11_node1  | [INFO] 21-01-2026 19:48:12: Received token via unicast
z11_node1  | [INFO] 21-01-2026 19:48:12: TOKEN: have_token=1 pending=0 inflight=0

