z11_node5  | [INFO] 20-01-2026 19:45:15: Node initalized, waiting for UDP packets
z11_node5  | [INFO] 20-01-2026 19:45:20: Received token via unicast
z11_node5  | [INFO] 20-01-2026 19:45:20: TOKEN: have_token=1 pending=0 inflight=0
z11_node5  | [INFO] 20-01-2026 19:45:27: Received token via unicast
z11_node5  | [INFO] 20-01-2026 19:45:27: TOKEN: have_token=1 pending=0 inflight=0
z11_node5  | [INFO] 20-01-2026 19:45:34: Received token via unicast
z11_node5  | [INFO] 20-01-2026 19:45:34: TOKEN: have_token=1 pending=0 inflight=0
z11_node5  | [INFO] 20-01-2026 19:45:41: Received token via unicast
z11_node5  | [INFO] 20-01-2026 19:45:41: TOKEN: have_token=1 pending=0 inflight=0
z11_node5  | [INFO] 20-01-2026 19:45:48: Received token via unicast
z11_node5  | [INFO] 20-01-2026 19:45:48: TOKEN: have_token=1 pending=0 inflight=0
z11_node5  | [INFO] 20-01-2026 19:45:55: Received token via unicast
z11_node5  | [INFO] 20-01-2026 19:45:55: TOKEN: have_token=1 pending=0 inflight=0
z11_node5  | [INFO] 20-01-2026 19:46:02: Received token via unicast
z11_node5  | [INFO] 20-01-2026 19:46:02: TOKEN: have_token=1 pending=0 inflight=0
z11_node5  | [INFO] 20-01-2026 19:46:09: Received token via unicast
z11_node5  | [INFO] 20-01-2026 19:46:09: TOKEN: have_token=1 pending=0 inflight=0
z11_node5  | [INFO] 20-01-2026 19:46:16: Received token via unicast
z11_node5  | [INFO] 20-01-2026 19:46:16: TOKEN: have_token=1 pending=0 inflight=0
z11_node5  | [INFO] 20-01-2026 19:46:24: Received token via unicast
z11_node5  | [INFO] 20-01-2026 19:46:24: TOKEN: have_token=1 pending=0 inflight=0
z11_node5  | [INFO] 20-01-2026 19:46:31: Received token via unicast
z11_node5  | [INFO] 20-01-2026 19:46:31: TOKEN: have_token=1 pending=0 inflight=0
z11_node5  | [INFO] 20-01-2026 19:46:38: Received token via unicast
z11_node5  | [INFO] 20-01-2026 19:46:38: TOKEN: have_token=1 pending=0 inflight=0
z11_node5  | [INFO] 20-01-2026 19:46:45: Received token via unicast
z11_node5  | [INFO] 20-01-2026 19:46:45: TOKEN: have_token=1 pending=0 inflight=0
z11_node5  | [INFO] 20-01-2026 19:46:52: Received token via unicast
z11_node5  | [INFO] 20-01-2026 19:46:52: TOKEN: have_token=1 pending=0 inflight=0
z11_node5  | [INFO] 20-01-2026 19:46:59: Received token via unicast
z11_node5  | [INFO] 20-01-2026 19:46:59: TOKEN: have_token=1 pending=0 inflight=0
z11_node5  | [INFO] 20-01-2026 19:47:06: Received token via unicast
z11_node5  | [INFO] 20-01-2026 19:47:06: TOKEN: have_token=1 pending=0 inflight=0
z11_node5  | [INFO] 20-01-2026 19:47:13: Received token via unicast
z11_node5  | [INFO] 20-01-2026 19:47:13: TOKEN: have_token=1 pending=0 inflight=0
z11_node5  | [INFO] 20-01-2026 19:47:20: Received token via unicast
z11_node5  | [INFO] 20-01-2026 19:47:20: TOKEN: have_token=1 pending=0 inflight=0
z11_node5  | [INFO] 20-01-2026 19:47:27: Received token via unicast
z11_node5  | [INFO] 20-01-2026 19:47:27: TOKEN: have_token=1 pending=0 inflight=0
z11_node5  | [INFO] 20-01-2026 19:47:34: Received token via unicast
z11_node5  | [INFO] 20-01-2026 19:47:34: TOKEN: have_token=1 pending=0 inflight=0
z11_node5  | [INFO] 20-01-2026 19:47:41: Received token via unicast
z11_node5  | [INFO] 20-01-2026 19:47:41: TOKEN: have_token=1 pending=0 inflight=0
z11_node5  | [INFO] 20-01-2026 19:47:48: Received token via unicast
z11_node5  | [INFO] 20-01-2026 19:47:48: TOKEN: have_token=1 pending=0 inflight=0
z11_node5  | [INFO] 20-01-2026 19:47:55: Received token via unicast
z11_node5  | [INFO] 20-01-2026 19:47:55: TOKEN: have_token=1 pending=0 inflight=0
z11_node5  | [INFO] 20-01-2026 19:48:02: Received token via unicast
z11_node5  | [INFO] 20-01-2026 19:48:02: TOKEN: have_token=1 pending=0 inflight=0
z11_node5  | [INFO] 20-01-2026 19:48:09: Received token via unicast
z11_node5  | [INFO] 20-01-2026 19:48:09: TOKEN: have_token=1 pending=0 inflight=0

