z11_node0  | [INFO] 21-01-2026 19:05:17: Node initalized, waiting for UDP packets
z11_node0  | [INFO] 21-01-2026 19:05:17: TOKEN: have_token=1 pending=0 inflight=0
z11_node5  | [INFO] 21-01-2026 19:05:17: Node initalized, waiting for UDP packets
z11_node4  | [INFO] 21-01-2026 19:05:17: Node initalized, waiting for UDP packets
z11_node3  | [INFO] 21-01-2026 19:05:17: Node initalized, waiting for UDP packets
z11_node6  | [INFO] 21-01-2026 19:05:17: Node initalized, waiting for UDP packets
z11_node1  | [INFO] 21-01-2026 19:05:17: Node initalized, waiting for UDP packets
z11_node2  | [INFO] 21-01-2026 19:05:17: Node initalized, waiting for UDP packets
z11_node1  | [INFO] 21-01-2026 19:05:18: Received token via unicast
z11_node1  | [INFO] 21-01-2026 19:05:18: TOKEN: have_token=1 pending=0 inflight=0
z11_node2  | [INFO] 21-01-2026 19:05:19: Received token via unicast
z11_node2  | [INFO] 21-01-2026 19:05:19: TOKEN: have_token=1 pending=0 inflight=0
z11_node3  | [INFO] 21-01-2026 19:05:20: Received token via unicast
z11_node3  | [INFO] 21-01-2026 19:05:20: TOKEN: have_token=1 pending=0 inflight=0
z11_node4  | [INFO] 21-01-2026 19:05:21: Received token via unicast
z11_node4  | [INFO] 21-01-2026 19:05:21: TOKEN: have_token=1 pending=0 inflight=0
z11_node5  | [INFO] 21-01-2026 19:05:22: Received token via unicast
z11_node5  | [INFO] 21-01-2026 19:05:22: TOKEN: have_token=1 pending=0 inflight=0
z11_node6  | [INFO] 21-01-2026 19:05:23: Received token via unicast
z11_node6  | [INFO] 21-01-2026 19:05:23: TOKEN: have_token=1 pending=0 inflight=0
z11_node0  | [INFO] 21-01-2026 19:05:24: Received token via unicast
z11_node0  | [INFO] 21-01-2026 19:05:24: TOKEN: have_token=1 pending=0 inflight=0
z11_node1  | [INFO] 21-01-2026 19:05:25: Received token via unicast
z11_node1  | [INFO] 21-01-2026 19:05:25: TOKEN: have_token=1 pending=0 inflight=0
z11_node2  | [INFO] 21-01-2026 19:05:26: Received token via unicast
z11_node2  | [INFO] 21-01-2026 19:05:26: TOKEN: have_token=1 pending=0 inflight=0
z11_node3  | [INFO] 21-01-2026 19:05:27: Received token via unicast
z11_node3  | [INFO] 21-01-2026 19:05:27: TOKEN: have_token=1 pending=0 inflight=0
z11_node4  | [INFO] 21-01-2026 19:05:28: Received token via unicast
z11_node4  | [INFO] 21-01-2026 19:05:28: TOKEN: have_token=1 pending=0 inflight=0
z11_node5  | [INFO] 21-01-2026 19:05:29: Received token via unicast
z11_node5  | [INFO] 21-01-2026 19:05:29: TOKEN: have_token=1 pending=0 inflight=0
z11_node6  | [INFO] 21-01-2026 19:05:30: Received token via unicast
z11_node6  | [INFO] 21-01-2026 19:05:30: TOKEN: have_token=1 pending=0 inflight=0
z11_node0  | [INFO] 21-01-2026 19:05:31: Received token via unicast
z11_node0  | [INFO] 21-01-2026 19:05:31: TOKEN: have_token=1 pending=0 inflight=0
z11_node1  | [INFO] 21-01-2026 19:05:32: Received token via unicast
z11_node1  | [INFO] 21-01-2026 19:05:32: TOKEN: have_token=1 pending=0 inflight=0
z11_node2  | [INFO] 21-01-2026 19:05:33: Received token via unicast
z11_node2  | [INFO] 21-01-2026 19:05:33: TOKEN: have_token=1 pending=0 inflight=0
z11_node3  | [INFO] 21-01-2026 19:05:34: Received token via unicast
z11_node3  | [INFO] 21-01-2026 19:05:34: TOKEN: have_token=1 pending=0 inflight=0
z11_node4  | [INFO] 21-01-2026 19:05:35: Received token via unicast
z11_node4  | [INFO] 21-01-2026 19:05:35: TOKEN: have_token=1 pending=0 inflight=0
z11_node5  | [INFO] 21-01-2026 19:05:36: Received token via unicast
z11_node5  | [INFO] 21-01-2026 19:05:36: TOKEN: have_token=1 pending=0 inflight=0
z11_node6  | [INFO] 21-01-2026 19:05:37: Received token via unicast
z11_node6  | [INFO] 21-01-2026 19:05:37: TOKEN: have_token=1 pending=0 inflight=0
z11_node0  | [INFO] 21-01-2026 19:05:38: Received token via unicast
z11_node0  | [INFO] 21-01-2026 19:05:38: TOKEN: have_token=1 pending=0 inflight=0
z11_node1  | [INFO] 21-01-2026 19:05:39: Received token via unicast
z11_node1  | [INFO] 21-01-2026 19:05:39: TOKEN: have_token=1 pending=0 inflight=0
z11_node2  | [INFO] 21-01-2026 19:05:40: Received token via unicast
z11_node2  | [INFO] 21-01-2026 19:05:40: TOKEN: have_token=1 pending=0 inflight=0
z11_node3  | [INFO] 21-01-2026 19:05:41: Received token via unicast
z11_node3  | [INFO] 21-01-2026 19:05:41: TOKEN: have_token=1 pending=0 inflight=0
z11_node4  | [INFO] 21-01-2026 19:05:42: Received token via unicast
z11_node4  | [INFO] 21-01-2026 19:05:42: TOKEN: have_token=1 pending=0 inflight=0
z11_node5  | [INFO] 21-01-2026 19:05:43: Received token via unicast
z11_node5  | [INFO] 21-01-2026 19:05:43: TOKEN: have_token=1 pending=0 inflight=0
z11_node6  | [INFO] 21-01-2026 19:05:44: Received token via unicast
z11_node6  | [INFO] 21-01-2026 19:05:44: TOKEN: have_token=1 pending=0 inflight=0
z11_node0  | [INFO] 21-01-2026 19:05:45: Received token via unicast
z11_node0  | [INFO] 21-01-2026 19:05:45: TOKEN: have_token=1 pending=0 inflight=0
z11_node1  | [INFO] 21-01-2026 19:05:46: Received token via unicast
z11_node1  | [INFO] 21-01-2026 19:05:46: TOKEN: have_token=1 pending=0 inflight=0
z11_node2  | [INFO] 21-01-2026 19:05:47: Received token via unicast
z11_node2  | [INFO] 21-01-2026 19:05:47: TOKEN: have_token=1 pending=0 inflight=0
z11_node3  | [INFO] 21-01-2026 19:05:48: Received token via unicast
z11_node3  | [INFO] 21-01-2026 19:05:48: TOKEN: have_token=1 pending=0 inflight=0
z11_node4  | [INFO] 21-01-2026 19:05:49: Received token via unicast
