z11_node1  | [INFO] 21-01-2026 19:05:17: Node initalized, waiting for UDP packets
z11_node1  | [INFO] 21-01-2026 19:05:18: Received token via unicast
z11_node1  | [INFO] 21-01-2026 19:05:18: TOKEN: have_token=1 pending=0 inflight=0
z11_node1  | [INFO] 21-01-2026 19:05:25: Received token via unicast
z11_node1  | [INFO] 21-01-2026 19:05:25: TOKEN: have_token=1 pending=0 inflight=0
z11_node1  | [INFO] 21-01-2026 19:05:32: Received token via unicast
z11_node1  | [INFO] 21-01-2026 19:05:32: TOKEN: have_token=1 pending=0 inflight=0
z11_node1  | [INFO] 21-01-2026 19:05:39: Received token via unicast
z11_node1  | [INFO] 21-01-2026 19:05:39: TOKEN: have_token=1 pending=0 inflight=0
z11_node1  | [INFO] 21-01-2026 19:05:46: Received token via unicast
z11_node1  | [INFO] 21-01-2026 19:05:46: TOKEN: have_token=1 pending=0 inflight=0
z11_node1  | [INFO] 21-01-2026 19:05:53: Received token via unicast
z11_node1  | [INFO] 21-01-2026 19:05:53: TOKEN: have_token=1 pending=0 inflight=0
z11_node1  | [INFO] 21-01-2026 19:06:00: Received token via unicast
z11_node1  | [INFO] 21-01-2026 19:06:00: TOKEN: have_token=1 pending=0 inflight=0
z11_node1  | [INFO] 21-01-2026 19:06:07: Received token via unicast
z11_node1  | [INFO] 21-01-2026 19:06:07: TOKEN: have_token=1 pending=0 inflight=0
z11_node1  | [INFO] 21-01-2026 19:06:14: Received token via unicast
z11_node1  | [INFO] 21-01-2026 19:06:14: TOKEN: have_token=1 pending=0 inflight=0
z11_node1  | [INFO] 21-01-2026 19:06:21: Received token via unicast
z11_node1  | [INFO] 21-01-2026 19:06:21: TOKEN: have_token=1 pending=0 inflight=0
z11_node1  | [INFO] 21-01-2026 19:06:28: Received token via unicast
z11_node1  | [INFO] 21-01-2026 19:06:28: TOKEN: have_token=1 pending=0 inflight=0
z11_node1  | [INFO] 21-01-2026 19:06:35: Received token via unicast
z11_node1  | [INFO] 21-01-2026 19:06:35: TOKEN: have_token=1 pending=0 inflight=0
z11_node1  | [INFO] 21-01-2026 19:06:42: Received token via unicast
z11_node1  | [INFO] 21-01-2026 19:06:42: TOKEN: have_token=1 pending=0 inflight=0

