z11_node3  | [INFO] Applying netem: delay=1000ms jitter=500ms loss=50%
z11_node3  | [INFO] Delaying start by 2s
z11_node6  | [INFO] Applying netem: delay=1000ms jitter=500ms loss=50%
z11_node6  | [INFO] Delaying start by 6s
z11_node1  | [INFO] Applying netem: delay=1000ms jitter=500ms loss=50%
z11_node1  | [INFO] 20-01-2026 19:27:35: Node initalized, waiting for UDP packets
z11_node4  | [INFO] Applying netem: delay=1000ms jitter=500ms loss=50%
z11_node4  | [INFO] Delaying start by 2s
z11_node5  | [INFO] Applying netem: delay=1000ms jitter=500ms loss=50%
z11_node5  | [INFO] Delaying start by 4s
z11_node2  | [INFO] Applying netem: delay=1000ms jitter=500ms loss=50%
z11_node2  | [INFO] 20-01-2026 19:27:35: Node initalized, waiting for UDP packets
z11_node0  | [INFO] Applying netem: delay=1000ms jitter=500ms loss=50%
z11_node0  | [INFO] 20-01-2026 19:27:35: Node initalized, waiting for UDP packets
z11_node0  | [INFO] 20-01-2026 19:27:35: TOKEN: have_token=1 pending=0 inflight=0
z11_node3  | [INFO] 20-01-2026 19:27:37: Node initalized, waiting for UDP packets
z11_node4  | [INFO] 20-01-2026 19:27:37: Node initalized, waiting for UDP packets
z11_node2  | [INFO] 20-01-2026 19:27:38: JOIN_REQUEST id=499387908 name=node3 uni=5000 from=172.18.0.4
z11_node1  | [INFO] 20-01-2026 19:27:38: JOIN_REQUEST id=499387908 name=node3 uni=5000 from=172.18.0.4
z11_node5  | [INFO] 20-01-2026 19:27:39: Node initalized, waiting for UDP packets
z11_node6  | [INFO] 20-01-2026 19:27:41: Node initalized, waiting for UDP packets
z11_node2  | [INFO] 20-01-2026 19:27:42: JOIN_REQUEST id=2152002190 name=node6 uni=5000 from=172.18.0.7
z11_node1  | [INFO] 20-01-2026 19:27:42: JOIN_REQUEST id=2152002190 name=node6 uni=5000 from=172.18.0.7
z11_node1  | [INFO] 20-01-2026 19:27:47: Received token via unicast
z11_node1  | [INFO] 20-01-2026 19:27:47: TOKEN: have_token=1 pending=2 inflight=0
z11_node1  | [INFO] 20-01-2026 19:27:47: JOIN_INFLIGHT START: joiner=node3 req=499387908 (prev=node0 curr=node1)
z11_node2  | [INFO] 20-01-2026 19:27:51: JOIN_REQUEST id=535435875 name=node5 uni=5000 from=172.18.0.3
z11_node1  | [INFO] 20-01-2026 19:27:51: TOKEN: have_token=1 pending=1 inflight=1
z11_node1  | [INFO] 20-01-2026 19:27:53: JOIN_REQUEST id=535435875 name=node5 uni=5000 from=172.18.0.3
z11_node1  | [INFO] 20-01-2026 19:27:53: TOKEN: have_token=1 pending=2 inflight=1
z11_node1  | [INFO] 20-01-2026 19:27:55: TOKEN: have_token=1 pending=2 inflight=1
z11_node1  | [INFO] 20-01-2026 19:27:57: TOKEN: have_token=1 pending=2 inflight=1
z11_node0  | [INFO] 20-01-2026 19:27:58: JOIN_REQUEST id=2152002190 name=node6 uni=5000 from=172.18.0.7
z11_node0  | [INFO] 20-01-2026 19:27:59: JOIN_REQUEST id=535435875 name=node5 uni=5000 from=172.18.0.3
z11_node2  | [INFO] 20-01-2026 19:28:01: JOIN_REQUEST id=535435875 name=node5 uni=5000 from=172.18.0.3
z11_node3  | [INFO] 20-01-2026 19:28:01: JOIN_REQUEST id=535435875 name=node5 uni=5000 from=172.18.0.3
z11_node1  | [INFO] 20-01-2026 19:28:01: JOIN_INFLIGHT COMPLETE: new prev=node3 topo=1
z11_node0  | [INFO] 20-01-2026 19:28:02: JOIN_REQUEST id=535435875 name=node5 uni=5000 from=172.18.0.3
z11_node1  | [INFO] 20-01-2026 19:28:05: TOKEN: have_token=1 pending=2 inflight=0
z11_node1  | [INFO] 20-01-2026 19:28:05: JOIN_INFLIGHT START: joiner=node6 req=2152002190 (prev=node3 curr=node1)
z11_node1  | [INFO] 20-01-2026 19:28:10: JOIN_REQUEST id=535435875 name=node5 uni=5000 from=172.18.0.3
z11_node1  | [INFO] 20-01-2026 19:28:10: TOKEN: have_token=1 pending=1 inflight=1
z11_node2  | [INFO] 20-01-2026 19:28:11: JOIN_REQUEST id=2152002190 name=node6 uni=5000 from=172.18.0.7
z11_node1  | [INFO] 20-01-2026 19:28:12: JOIN_COMMIT: req=499387908 new=node3 topo=1
z11_node1  | [INFO] 20-01-2026 19:28:12: TOKEN: have_token=1 pending=1 inflight=1
z11_node0  | [INFO] 20-01-2026 19:28:13: JOIN_REQUEST id=2152002190 name=node6 uni=5000 from=172.18.0.7
z11_node1  | [INFO] 20-01-2026 19:28:16: JOIN_INFLIGHT COMPLETE: new prev=node6 topo=2
z11_node2  | [INFO] 20-01-2026 19:28:17: JOIN_COMMIT: req=2152002190 new=node6 topo=2
z11_node6  | [INFO] 20-01-2026 19:28:17: JOIN_COMMIT: req=2152002190 new=node6 topo=2
z11_node3  | [INFO] 20-01-2026 19:28:18: JOIN_COMMIT: req=2152002190 new=node6 topo=2
z11_node3  | [INFO] 20-01-2026 19:28:18: JOIN_REQUEST id=4066669410 name=node4 uni=5000 from=172.18.0.5
z11_node2  | [INFO] 20-01-2026 19:28:18: JOIN_REQUEST id=4066669410 name=node4 uni=5000 from=172.18.0.5
z11_node6  | [INFO] 20-01-2026 19:28:18: JOIN_REQUEST id=4066669410 name=node4 uni=5000 from=172.18.0.5
z11_node0  | [INFO] 20-01-2026 19:28:18: JOIN_COMMIT: req=2152002190 new=node6 topo=2
z11_node0  | [INFO] 20-01-2026 19:28:19: JOIN_REQUEST id=4066669410 name=node4 uni=5000 from=172.18.0.5
z11_node1  | [INFO] 20-01-2026 19:28:26: TOKEN: have_token=1 pending=1 inflight=0
z11_node1  | [INFO] 20-01-2026 19:28:26: JOIN_INFLIGHT START: joiner=node5 req=535435875 (prev=node6 curr=node1)
z11_node6  | [INFO] 20-01-2026 19:28:28: JOIN_REQUEST id=4066669410 name=node4 uni=5000 from=172.18.0.5
z11_node2  | [INFO] 20-01-2026 19:28:28: JOIN_REQUEST id=4066669410 name=node4 uni=5000 from=172.18.0.5
