z11_node5  | [INFO] Delaying start by 4s
z11_node4  | [INFO] Delaying start by 2s
z11_node3  | [INFO] Delaying start by 2s
z11_node1  | [INFO] 20-01-2026 19:23:49: Node initalized, waiting for UDP packets
z11_node0  | [INFO] 20-01-2026 19:23:49: Node initalized, waiting for UDP packets
z11_node0  | [INFO] 20-01-2026 19:23:49: TOKEN: have_token=1 pending=0 inflight=0
z11_node2  | [INFO] 20-01-2026 19:23:49: Node initalized, waiting for UDP packets
z11_node6  | [INFO] Delaying start by 6s
z11_node1  | [INFO] 20-01-2026 19:23:50: Received token via unicast
z11_node1  | [INFO] 20-01-2026 19:23:50: TOKEN: have_token=1 pending=0 inflight=0
z11_node2  | [INFO] 20-01-2026 19:23:51: JOIN_REQUEST id=338830663 name=node3 uni=5000 from=172.18.0.2
z11_node0  | [INFO] 20-01-2026 19:23:51: JOIN_REQUEST id=338830663 name=node3 uni=5000 from=172.18.0.2
z11_node3  | [INFO] 20-01-2026 19:23:51: Node initalized, waiting for UDP packets
z11_node2  | [INFO] 20-01-2026 19:23:51: Received token via unicast
z11_node2  | [INFO] 20-01-2026 19:23:51: TOKEN: have_token=1 pending=1 inflight=0
z11_node2  | [INFO] 20-01-2026 19:23:51: JOIN_INFLIGHT START: joiner=node3 req=338830663 (prev=node1 curr=node2)
z11_node0  | [INFO] 20-01-2026 19:23:51: JOIN_REQUEST id=1218047126 name=node4 uni=5000 from=172.18.0.8
z11_node4  | [INFO] 20-01-2026 19:23:51: Node initalized, waiting for UDP packets
z11_node1  | [INFO] 20-01-2026 19:23:52: JOIN_REQUEST id=338830663 name=node3 uni=5000 from=172.18.0.2
z11_node1  | [INFO] 20-01-2026 19:23:52: JOIN_REQUEST id=1218047126 name=node4 uni=5000 from=172.18.0.8
z11_node3  | [INFO] 20-01-2026 19:23:53: JOIN_REQUEST id=1218047126 name=node4 uni=5000 from=172.18.0.8
