z11_node1  | [INFO] 20-01-2026 19:23:49: Node initalized, waiting for UDP packets
z11_node1  | [INFO] 20-01-2026 19:23:50: Received token via unicast
z11_node1  | [INFO] 20-01-2026 19:23:50: TOKEN: have_token=1 pending=0 inflight=0
z11_node1  | [INFO] 20-01-2026 19:23:52: JOIN_REQUEST id=338830663 name=node3 uni=5000 from=172.18.0.2
z11_node1  | [INFO] 20-01-2026 19:23:52: JOIN_REQUEST id=1218047126 name=node4 uni=5000 from=172.18.0.8
z11_node1  | [INFO] 20-01-2026 19:23:53: JOIN_REQUEST id=126124206 name=node5 uni=5000 from=172.18.0.4
z11_node1  | [INFO] 20-01-2026 19:23:56: JOIN_REQUEST id=2109258571 name=node6 uni=5000 from=172.18.0.5
z11_node1  | [INFO] 20-01-2026 19:24:00: JOIN_COMMIT: req=338830663 new=node3 topo=1
z11_node1  | [INFO] 20-01-2026 19:24:03: JOIN_REQUEST id=126124206 name=node5 uni=5000 from=172.18.0.4
z11_node1  | [INFO] 20-01-2026 19:24:05: JOIN_REQUEST id=2109258571 name=node6 uni=5000 from=172.18.0.5
z11_node1  | [INFO] 20-01-2026 19:24:07: JOIN_COMMIT: req=1218047126 new=node4 topo=2
z11_node1  | [INFO] 20-01-2026 19:24:15: JOIN_REQUEST id=2109258571 name=node6 uni=5000 from=172.18.0.5
z11_node1  | [INFO] 20-01-2026 19:24:15: JOIN_COMMIT: req=126124206 new=node5 topo=3
z11_node1  | [INFO] 20-01-2026 19:24:23: JOIN_COMMIT: req=2109258571 new=node6 topo=4
z11_node1  | [INFO] 20-01-2026 19:24:26: Received token via unicast
z11_node1  | [INFO] 20-01-2026 19:24:26: TOKEN: have_token=1 pending=0 inflight=0
z11_node1  | [INFO] 20-01-2026 19:24:26: Attaching CLI token: kapitan 44
z11_node1  | 
z11_node1  | [INFO] 20-01-2026 19:24:33: Received token via unicast
z11_node1  | [INFO] 20-01-2026 19:24:33: TOKEN: have_token=1 pending=0 inflight=0
z11_node1  | [INFO] 20-01-2026 19:24:40: Received token via unicast
z11_node1  | [INFO] 20-01-2026 19:24:40: TOKEN: have_token=1 pending=0 inflight=0
z11_node1  | [INFO] 20-01-2026 19:24:47: Received token via unicast
z11_node1  | [INFO] 20-01-2026 19:24:47: TOKEN: have_token=1 pending=0 inflight=0
z11_node1  | [INFO] 20-01-2026 19:24:54: Received token via unicast
z11_node1  | [INFO] 20-01-2026 19:24:54: TOKEN: have_token=1 pending=0 inflight=0
z11_node1  | [INFO] 20-01-2026 19:25:01: Received token via unicast
z11_node1  | [INFO] 20-01-2026 19:25:01: TOKEN: have_token=1 pending=0 inflight=0
z11_node1  | [INFO] 20-01-2026 19:25:08: Received token via unicast
z11_node1  | [INFO] 20-01-2026 19:25:08: TOKEN: have_token=1 pending=0 inflight=0
z11_node1  | [INFO] 20-01-2026 19:25:15: Received token via unicast
z11_node1  | [INFO] 20-01-2026 19:25:15: TOKEN: have_token=1 pending=0 inflight=0
z11_node1  | [INFO] 20-01-2026 19:25:22: Received token via unicast
z11_node1  | [INFO] 20-01-2026 19:25:22: TOKEN: have_token=1 pending=0 inflight=0
z11_node1  | [INFO] 20-01-2026 19:25:29: Received token via unicast
z11_node1  | [INFO] 20-01-2026 19:25:29: TOKEN: have_token=1 pending=0 inflight=0
z11_node1  | [INFO] 20-01-2026 19:25:36: Received token via unicast
z11_node1  | [INFO] 20-01-2026 19:25:36: TOKEN: have_token=1 pending=0 inflight=0
z11_node1  | [INFO] 20-01-2026 19:25:43: Received token via unicast
z11_node1  | [INFO] 20-01-2026 19:25:43: TOKEN: have_token=1 pending=0 inflight=0

