z11_node5  | [INFO] Delaying start by 4s
z11_node5  | [INFO] 21-01-2026 19:23:53: Node initalized, waiting for UDP packets
z11_node5  | [INFO] 21-01-2026 19:24:15: JOIN_REQUEST id=2109258571 name=node6 uni=5000 from=172.18.0.5
z11_node5  | [INFO] 21-01-2026 19:24:15: JOIN_COMMIT: req=126124206 new=node5 topo=3
z11_node5  | [INFO] 21-01-2026 19:24:23: JOIN_COMMIT: req=2109258571 new=node6 topo=4
z11_node5  | [INFO] 21-01-2026 19:24:29: Received token via unicast
z11_node5  | [INFO] 21-01-2026 19:24:29: TOKEN: have_token=1 pending=0 inflight=0
z11_node5  | [INFO] 21-01-2026 19:24:29: Full token received for another node - forwarding
z11_node5  | 
z11_node5  | [INFO] 21-01-2026 19:24:36: Received token via unicast
z11_node5  | [INFO] 21-01-2026 19:24:36: TOKEN: have_token=1 pending=0 inflight=0
z11_node5  | [INFO] 21-01-2026 19:24:43: Received token via unicast
z11_node5  | [INFO] 21-01-2026 19:24:43: TOKEN: have_token=1 pending=0 inflight=0
z11_node5  | [INFO] 21-01-2026 19:24:50: Received token via unicast
z11_node5  | [INFO] 21-01-2026 19:24:50: TOKEN: have_token=1 pending=0 inflight=0
z11_node5  | [INFO] 21-01-2026 19:24:57: Received token via unicast
z11_node5  | [INFO] 21-01-2026 19:24:57: TOKEN: have_token=1 pending=0 inflight=0
z11_node5  | [INFO] 21-01-2026 19:25:04: Received token via unicast
z11_node5  | [INFO] 21-01-2026 19:25:04: TOKEN: have_token=1 pending=0 inflight=0
z11_node5  | [INFO] 21-01-2026 19:25:11: Received token via unicast
z11_node5  | [INFO] 21-01-2026 19:25:11: TOKEN: have_token=1 pending=0 inflight=0
z11_node5  | [INFO] 21-01-2026 19:25:18: Received token via unicast
z11_node5  | [INFO] 21-01-2026 19:25:18: TOKEN: have_token=1 pending=0 inflight=0
z11_node5  | [INFO] 21-01-2026 19:25:25: Received token via unicast
z11_node5  | [INFO] 21-01-2026 19:25:25: TOKEN: have_token=1 pending=0 inflight=0
z11_node5  | [INFO] 21-01-2026 19:25:32: Received token via unicast
z11_node5  | [INFO] 21-01-2026 19:25:32: TOKEN: have_token=1 pending=0 inflight=0
z11_node5  | [INFO] 21-01-2026 19:25:39: Received token via unicast
z11_node5  | [INFO] 21-01-2026 19:25:39: TOKEN: have_token=1 pending=0 inflight=0
z11_node5  | [INFO] 21-01-2026 19:25:46: Received token via unicast
z11_node5  | [INFO] 21-01-2026 19:25:46: TOKEN: have_token=1 pending=0 inflight=0

