z11_node0  | [INFO] 21-01-2026 19:19:12: Node initalized, waiting for UDP packets
z11_node0  | [INFO] 21-01-2026 19:19:12: TOKEN: have_token=1 pending=0 inflight=0
z11_node6  | [INFO] 21-01-2026 19:19:12: Node initalized, waiting for UDP packets
z11_node3  | [INFO] 21-01-2026 19:19:12: Node initalized, waiting for UDP packets
z11_node2  | [INFO] 21-01-2026 19:19:12: Node initalized, waiting for UDP packets
z11_node1  | [INFO] 21-01-2026 19:19:12: Node initalized, waiting for UDP packets
z11_node4  | [INFO] 21-01-2026 19:19:12: Node initalized, waiting for UDP packets
z11_node5  | [INFO] 21-01-2026 19:19:12: Node initalized, waiting for UDP packets
z11_node1  | [INFO] 21-01-2026 19:19:13: Received token via unicast
z11_node1  | [INFO] 21-01-2026 19:19:13: TOKEN: have_token=1 pending=0 inflight=0
z11_node2  | [INFO] 21-01-2026 19:19:14: Received token via unicast
z11_node2  | [INFO] 21-01-2026 19:19:14: TOKEN: have_token=1 pending=0 inflight=0
z11_node3  | [INFO] 21-01-2026 19:19:15: Received token via unicast
z11_node3  | [INFO] 21-01-2026 19:19:15: TOKEN: have_token=1 pending=0 inflight=0
z11_node4  | [INFO] 21-01-2026 19:19:16: Received token via unicast
z11_node4  | [INFO] 21-01-2026 19:19:16: TOKEN: have_token=1 pending=0 inflight=0
z11_node5  | [INFO] 21-01-2026 19:19:17: Received token via unicast
z11_node5  | [INFO] 21-01-2026 19:19:17: TOKEN: have_token=1 pending=0 inflight=0
z11_node6  | [INFO] 21-01-2026 19:19:18: Received token via unicast
z11_node6  | [INFO] 21-01-2026 19:19:18: TOKEN: have_token=1 pending=0 inflight=0
z11_node0  | [INFO] 21-01-2026 19:19:19: Received token via unicast
z11_node0  | [INFO] 21-01-2026 19:19:19: TOKEN: have_token=1 pending=0 inflight=0
z11_node1  | [INFO] 21-01-2026 19:19:20: Received token via unicast
z11_node1  | [INFO] 21-01-2026 19:19:20: TOKEN: have_token=1 pending=0 inflight=0
z11_node2  | [INFO] 21-01-2026 19:19:21: Received token via unicast
z11_node2  | [INFO] 21-01-2026 19:19:21: TOKEN: have_token=1 pending=0 inflight=0
z11_node3  | [INFO] 21-01-2026 19:19:22: Received token via unicast
z11_node3  | [INFO] 21-01-2026 19:19:22: TOKEN: have_token=1 pending=0 inflight=0
z11_node4  | [INFO] 21-01-2026 19:19:23: Received token via unicast
z11_node4  | [INFO] 21-01-2026 19:19:23: TOKEN: have_token=1 pending=0 inflight=0
z11_node5  | [INFO] 21-01-2026 19:19:24: Received token via unicast
z11_node5  | [INFO] 21-01-2026 19:19:24: TOKEN: have_token=1 pending=0 inflight=0
z11_node6  | [INFO] 21-01-2026 19:19:25: Received token via unicast
